ID,Name,Description,Produced By Use Cases,Consumed By Use Cases
DP-001,Customer Profile Data,"Customer profile, history, and interactions from CRM including demographics, contact information, account relationships, and interaction history","Core Systems (Salesforce CRM, Core Banking)","UC-001, UC-006, UC-007, UC-011, UC-014, UC-017, UC-023, UC-024"
DP-002,Transaction History,"Transaction history and balances from core banking including debits, credits, transfers, payment details, transaction type, amount, timestamp, merchant information, and channel","Core Banking System","UC-001, UC-002, UC-003, UC-004, UC-006, UC-008, UC-011, UC-013, UC-019, UC-023, UC-024"
DP-003,Loan and Credit Data,"Loan history and credit scores from lending platform including application data, approval status, repayment history, and credit bureau scores","Lending Platform, Credit Bureaus","UC-001, UC-004, UC-005, UC-021, UC-023"
DP-004,Investment Portfolio Data,"Portfolio holdings and performance including asset allocations, valuations, returns, and market data","Investment Platform","UC-001, UC-003, UC-017"
DP-005,Market and Economic Data,"Stock prices, economic indicators, interest rates, and market trends from external data providers","External Market Data Providers","UC-001, UC-003, UC-017, UC-021"
DP-006,News and Media Intelligence,"Company news, industry trends, adverse media, and competitive intelligence from news feeds and social media","News & Media Services, LinkedIn","UC-001, UC-008, UC-011, UC-017"
DP-007,Client Meeting Insights,"AI-generated client briefings including meeting preparation materials, opportunity lists, talking points, and relationship insights from RM Copilot","UC-001, UC-017","UC-001, UC-017"
DP-008,Opportunity Scores,"Ranked cross-sell/upsell opportunities and propensity scores generated by ML models","UC-001, UC-006, UC-017","UC-001, UC-006, UC-007, UC-017, UC-024"
DP-009,CRM Updates,"Auto-captured meeting notes, actions, and customer interaction summaries","UC-001, UC-007, UC-017","CRM System (Salesforce)"
DP-010,RM Performance Metrics,"Relationship manager productivity, conversion rates, pipeline metrics, and effectiveness KPIs","UC-001, UC-017","UC-003, Management Dashboards"
DP-011,Financial Close Data,"Automated reconciliation results, journal entries, variance analysis, accrual estimates, and P&L/Balance Sheet data","UC-002","UC-002, UC-003, UC-009, UC-015, UC-021"
DP-012,Financial Narratives,"AI-generated management commentary, variance explanations, and executive summaries for financial statements","UC-002","UC-002, UC-003, Regulatory Reporting"
DP-013,Anomaly Detection Alerts,"Identified unusual transactions, posting errors, data quality issues, and financial anomalies","UC-002, UC-008, UC-012, UC-015","UC-002, UC-008, UC-011, UC-012, UC-015"
DP-014,Conversational Analytics Results,"Natural language query results, generated insights, automated visualizations, and SQL translations","UC-003","UC-001, UC-002, UC-003, UC-009, UC-017"
DP-015,Predictive Forecasts,"ML-generated forecasts including trend analysis, scenario modeling, and predictive insights","UC-003, UC-004, UC-015","UC-002, UC-003, UC-015, UC-018, UC-021"
DP-016,Credit Risk Scores,"Probability of Default (PD), Loss Given Default (LGD), Exposure at Default (EAD), and credit decision scores","UC-004, UC-021","UC-001, UC-004, UC-005, UC-011, UC-014, UC-017, UC-021, UC-023"
DP-017,Explainable Credit Decisions,"SHAP/LIME feature attributions, counterfactual explanations, and model interpretability reports for credit decisions","UC-004, UC-021","UC-004, UC-005, UC-021, Regulatory/Compliance"
DP-018,Alternative Credit Data,"Open banking transaction data, telco payment history, rental payment history, and behavioral financial data","External Data Providers","UC-004, UC-014"
DP-019,Extracted Document Data,"Structured data extracted from loan applications, financial statements, identity documents, contracts, invoices including OCR text, entities, and confidence scores","UC-005, UC-011, UC-018, UC-019, UC-020, UC-021, UC-023","UC-002, UC-004, UC-005, UC-011, UC-012, UC-014, UC-018, UC-019, UC-020, UC-021, UC-023"
DP-020,Document Fraud Signals,"Document authenticity verification results, manipulation detection, and forensics analysis","UC-005, UC-011, UC-014","UC-004, UC-005, UC-011, UC-013, UC-014"
DP-021,Customer Propensity Scores,"Churn propensity, product affinity, engagement likelihood, and life event predictions","UC-006, UC-024","UC-001, UC-006, UC-007, UC-017, UC-023, UC-024"
DP-022,Personalized Content,"AI-generated personalized messages, emails, offers, push notifications, and marketing content","UC-006, UC-023, UC-024","UC-006, UC-007, UC-023, UC-024"
DP-023,Customer 360 Features,"Real-time customer behavioral features, aggregated signals, and feature store data for ML models","UC-006, UC-009, UC-024","UC-001, UC-003, UC-004, UC-006, UC-008, UC-011, UC-013, UC-017, UC-023, UC-024"
DP-024,Call Transcripts and Summaries,"Real-time call transcriptions, AI-generated call summaries, sentiment analysis, and extracted action items","UC-007","UC-003, UC-006, UC-007, UC-011, UC-012, UC-023"
DP-025,Agent Assistance Recommendations,"Real-time knowledge surfacing, next-best-action suggestions, and compliance monitoring results for agents","UC-007","UC-007"
DP-026,Quality Monitoring Scores,"Automated quality scoring, compliance adherence tracking, and performance analytics for contact center","UC-007, UC-012","UC-003, UC-007, UC-012, UC-015"
DP-027,Security Events and Threat Intelligence,"Security event logs, anomaly detection alerts, threat intelligence feeds, UEBA alerts, and IOC data","UC-008","UC-008, UC-010, UC-011, UC-015, UC-016"
DP-028,Security Incident Reports,"Automated incident summaries, threat analysis, security narratives, and SOC investigation results","UC-008","UC-008, UC-015, UC-016, Regulatory/Compliance"
DP-029,User Behavior Profiles,"ML-based user behavior baselines, risk scores, and anomaly patterns for identity and access management","UC-008","UC-008, UC-011, UC-014, UC-016"
DP-030,Data Product Catalog,"Metadata, schemas, data lineage, data quality metrics, and semantic information for all data assets","UC-009","All use cases, Data Consumers"
DP-031,Data Quality Metrics,"Automated data quality scores including completeness, accuracy, timeliness, consistency, drift detection, and validation results","UC-009, UC-012","UC-002, UC-003, UC-004, UC-009, UC-011, UC-012, UC-015"
DP-032,Data Contracts and SLAs,"Schema definitions, compatibility rules, SLA metrics, and consumer impact assessments","UC-009","All data product consumers"
DP-033,Code and Development Artifacts,"AI-generated code, test cases, documentation, architecture diagrams, and security scan results","UC-010","UC-009, UC-010, UC-016, UC-022"
DP-034,Development Productivity Metrics,"Code quality metrics, velocity indicators, test coverage, and deployment frequency","UC-010","UC-003, UC-010, UC-015"
DP-035,Financial Crime Alerts,"Suspicious Activity Reports (SAR/STR), AML alerts, sanctions screening hits, and EDD findings","UC-011","UC-008, UC-011, UC-014, UC-015, Regulatory Bodies"
DP-036,Name Screening Results,"ML-powered fuzzy matching results against sanctions, PEP lists, and adverse media with disposition recommendations","UC-011, UC-014","UC-011, UC-014"
DP-037,Transaction Monitoring Alerts,"Real-time and batch monitoring alerts for suspicious patterns including structuring, layering, and money laundering typologies","UC-011","UC-008, UC-011, UC-013, UC-015"
DP-038,Investigation Narratives,"AI-generated investigation summaries, evidence packages, and regulatory submission documentation","UC-011, UC-013, UC-019","UC-011, UC-013, UC-015, UC-019, Regulatory Bodies"
DP-039,Customer Risk Assessments,"ML-based customer risk scores, OCDD monitoring results, and risk factor analysis","UC-011","UC-001, UC-004, UC-011, UC-014, UC-015, UC-017"
DP-040,Compliance Verification Results,"Automated policy compliance checks, regulatory document reviews, gap analysis, and audit evidence","UC-012, UC-018, UC-020","UC-002, UC-004, UC-005, UC-008, UC-011, UC-012, UC-015, UC-018, UC-020, UC-021"
DP-041,Process Quality Scores,"Real-time SLA monitoring, process mining results, quality trend analysis, and exception patterns","UC-012, UC-016","UC-002, UC-003, UC-007, UC-012, UC-015, UC-016"
DP-042,Test Results and Coverage,"AI-generated test execution results, coverage metrics, defect classifications, and validation outcomes","UC-010, UC-012, UC-020","UC-010, UC-012, UC-015, UC-020"
DP-043,Fraud Detection Scores,"Real-time fraud probability scores for transactions, applications, and accounts with explainable risk factors","UC-013, UC-014","UC-004, UC-005, UC-011, UC-013, UC-014, UC-019, UC-023"
DP-044,Fraud Network Analysis,"Graph analytics results identifying fraud rings, mule networks, and coordinated attack patterns","UC-013","UC-008, UC-011, UC-013, UC-015"
DP-045,Fraud Case Intelligence,"Automated evidence packages, case narratives, pattern matching results, and similar case retrievals","UC-013","UC-011, UC-013, UC-015"
DP-046,Identity Verification Results,"Digital identity verification outcomes including document authenticity, biometric match scores, liveness detection, and risk assessments","UC-014","UC-004, UC-005, UC-011, UC-014, UC-023"
DP-047,Onboarding Application Data,"Captured application data, verification status, risk scores, and processing milestones","UC-014","UC-001, UC-004, UC-011, UC-014"
DP-048,Operational Risk Indicators,"Key Risk Indicators (KRIs), incident data, control effectiveness scores, risk assessments, and early warning signals","UC-015, UC-020","UC-002, UC-008, UC-010, UC-012, UC-015, UC-016, UC-020"
DP-049,Risk Narratives and Reports,"GenAI-generated risk reports, board narratives, regulatory submissions, and scenario analysis documentation","UC-015","UC-003, UC-015, Regulatory Bodies, Board"
DP-050,Incident and Loss Data,"Categorized incident reports, loss event data, root cause analysis, and near-miss information","UC-015, UC-016","UC-008, UC-012, UC-015, UC-016"
DP-051,IT Operations Intelligence,"AIOps anomaly alerts, incident predictions, system health metrics, service dependency maps, and capacity forecasts","UC-016","UC-008, UC-009, UC-010, UC-012, UC-015, UC-016"
DP-052,IT Knowledge Articles,"Automated knowledge base content, resolution procedures, troubleshooting guides, and runbook documentation","UC-016","UC-010, UC-016, UC-022"
DP-053,Ticket Classification and Routing,"AI-powered ticket categorizations, priority scores, resolution predictions, and skills-based routing recommendations","UC-016","UC-007, UC-016"
DP-054,Deal Intelligence,"AI-powered deal sourcing insights, competitive intelligence, pitch materials, credit memo analysis, and pipeline forecasts","UC-017, UC-021","UC-001, UC-015, UC-017, UC-021"
DP-055,Corporate Structure Data,"Beneficial ownership maps, corporate relationship graphs, group exposure data, and ESG risk assessments","UC-017, UC-021","UC-004, UC-011, UC-015, UC-017, UC-021"
DP-056,Client Analytics,"Wallet share analysis, client health scores, product propensity, relationship strength indicators, and churn predictions","UC-017","UC-001, UC-017"
DP-057,Procurement Intelligence,"Spend analytics, supplier performance scores, contract analysis, sourcing opportunities, and price benchmarking","UC-018","UC-002, UC-003, UC-015, UC-018"
DP-058,Contract Data and Obligations,"Extracted contract terms, clause analysis, risk identifications, obligation tracking, and renewal dates","UC-018","UC-002, UC-015, UC-018, UC-021"
DP-059,Invoice and Payment Data,"Automated invoice processing results, three-way matching outcomes, exception handling, and payment recommendations","UC-018","UC-002, UC-018"
DP-060,Supplier Risk Scores,"Real-time supplier risk monitoring including financial health, compliance status, ESG scores, and disruption warnings","UC-018","UC-015, UC-018"
DP-061,Dispute Classification and Outcomes,"AI-powered dispute type classification, outcome predictions, evidence strength scores, and resolution recommendations","UC-019","UC-006, UC-011, UC-013, UC-015, UC-019"
DP-062,Dispute Evidence Packages,"Automated evidence collection, document analysis, transaction cross-references, and merchant response evaluations","UC-019","UC-019"
DP-063,Dispute Analytics,"Pattern analysis, merchant behavior monitoring, first-party fraud detection, and chargeback trend data","UC-019","UC-006, UC-011, UC-013, UC-015, UC-019"
DP-064,Control Test Results,"Automated test execution outcomes, evidence validation, control effectiveness ratings, exception tracking, and audit trails","UC-020","UC-002, UC-008, UC-012, UC-015, UC-020"
DP-065,Control Monitoring Data,"Real-time control effectiveness tracking, anomaly detection alerts, trend analysis, and deterioration warnings","UC-020","UC-008, UC-012, UC-015, UC-020"
DP-066,Financial Spreading Data,"Automated financial statement extraction, ratio calculations, trend analysis, peer benchmarking, and credit metrics","UC-021","UC-004, UC-011, UC-015, UC-017, UC-021"
DP-067,Credit Memos and Assessments,"GenAI-generated credit memos, policy compliance checks, precedent comparisons, and covenant recommendations","UC-021","UC-001, UC-004, UC-011, UC-015, UC-017, UC-021"
DP-068,Learning Content and Assessments,"AI-generated lessons, quizzes, training materials, multi-modal content (text/audio/video), and automated assessments","UC-022","UC-010, UC-022"
DP-069,Learning Analytics,"Learning effectiveness metrics, skill gap analysis, progress tracking, engagement analytics, and competency maps","UC-022","UC-003, UC-022"
DP-070,Collections Propensity Scores,"Payment likelihood predictions, roll-rate forecasts, recovery amount estimates, hardship assessments, and arrangement adherence predictions","UC-023","UC-004, UC-006, UC-015, UC-023, UC-024"
DP-071,Collections Communications,"GenAI-generated personalized collection letters, conversation scripts, status notifications, and resolution correspondence","UC-023","UC-023"
DP-072,Collections Strategy Outcomes,"Contact optimization results, channel effectiveness, timing analysis, and reinforcement learning insights","UC-023","UC-006, UC-015, UC-023"
DP-073,Hardship Application Data,"Automated hardship assessment results, financial statement extraction, vulnerability indicators, and affordability analysis","UC-023","UC-004, UC-015, UC-023"
DP-074,App Personalization Decisions,"Real-time personalization choices, contextual content selections, A/B test results, and dynamic UI/UX adaptations","UC-024","UC-024"
DP-075,Behavioral Session Data,"Real-time session analytics, intent predictions, engagement tracking, feature usage patterns, and sentiment analysis","UC-024","UC-006, UC-007, UC-014, UC-024"
DP-076,App Recommendations,"Next-best-action suggestions, product recommendations, financial wellness insights, and personalized tips","UC-024","UC-001, UC-006, UC-024"
DP-077,Experimentation Results,"Multi-armed bandit outcomes, champion-challenger performance, optimization insights, and conversion analytics","UC-024","UC-006, UC-024"
DP-078,Model Performance Metrics,"MLOps metrics including drift detection, performance degradation, explainability reports, retraining triggers, and champion-challenger results","UC-001, UC-002, UC-003, UC-004, UC-006, UC-008, UC-009, UC-011, UC-013, UC-023, UC-024","UC-009, UC-015, All ML-intensive use cases"
