id,name,component id,component name,ABB description,candidate SBBs,Primary Pattern ID,Primary Pattern Name,2025 Enhancement
291,Dispute Type Detection,124,ML Dispute Classification,Detection of dispute types,"Custom ML Models, Rules-based Detection",PT-009,Real-Time ML Scoring Pattern,Real-time dispute classification with Feature Store features.
151,Doc Generator,63,GenAI Documentation Generation,Documentation generator from code,"Sphinx, JSDoc, Doxygen, Custom Generator",PT-008,Multi-Agent Orchestration,Multi-Agent Documentation Agent with RAG over codebase.
212,Document Classification,89,OCR Document Processing,Classification of document types,"Azure Form Recognizer, AWS Textract, Custom Classifier",PT-011,Intelligent Document Processing (IDP),IDP document classification with confidence-based HITL routing.
315,Document Collection,135,Automated Evidence Collection,Automated document collection,"SharePoint Integration, Custom Collector",PT-007,Agentic AI Pattern,Agentic AI for autonomous document collection. IDP analysis.
43,Document Generation,21,GenAI Credit Narratives,Automated document generation service,"DocuSign Gen, Custom Document Generator, LLM-based Generation",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG for compliant document generation with policy validation.
53,Document Processing,25,OCR Engine,End-to-end document processing,"Azure Form Recognizer, AWS Textract, Google Document AI",PT-011,Intelligent Document Processing (IDP),IDP with ensemble OCR (AWS Textract + Azure). 99% extraction accuracy.
321,Document Processing,138,AI Financial Spreading,Document processing for financial data,"Azure Form Recognizer, Custom Processing",PT-011,Intelligent Document Processing (IDP),IDP for financial statement extraction. 99% accuracy with validation.
130,Documentation Templates,55,GenAI Documentation,Templates for automated documentation,"Custom Doc Templates, Markdown Templates, Wiki Templates",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG for documentation search and auto-generation.
233,Effectiveness Analysis,97,Control Effectiveness Monitoring,Analysis of control effectiveness,"Custom Analysis, GRC Analytics",PT-017,Observability and Monitoring Pattern,Observability control effectiveness analysis with real-time KRIs.
350,Effectiveness Tracking,150,Learning Analytics,Learning effectiveness tracking,"Custom Effectiveness Metrics, LMS Reports",PT-017,Observability and Monitoring Pattern,Observability learning effectiveness analytics.
133,Embeddings,56,Semantic Search,Text embedding models for semantic representation,"Azure OpenAI Embeddings, Sentence Transformers, Custom Embeddings",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG embeddings with hybrid search (dense + sparse).
171,Ensemble ML,72,Ensemble Risk Scoring,Ensemble machine learning framework,"Scikit-learn, XGBoost, LightGBM, Custom Ensemble",PT-010,Champion/Challenger Testing Pattern,Champion/Challenger for ensemble validation. Statistical significance testing.
201,Entity Extraction,84,NLP Unstructured Data,Named entity extraction from text,"spaCy NER, Azure AI Language, AWS Comprehend",PT-011,Intelligent Document Processing (IDP),IDP NER for entity extraction from evidence documents.
288,ERP Connector,123,ERP Integration,Connector to ERP systems,"SAP Connector, Oracle Connector, Custom Connector",PT-001,Enterprise AI Governance Platform,Governance ERP integration with procurement compliance audit.
35,ETL/ELT Connector,18,Data Ingestion Integration,Connectors for data extraction and loading,"Fivetran, Azure Data Factory, AWS Glue, Informatica",PT-015,Event-Driven Architecture,Event-driven ETL with CDC for real-time data pipeline.
44,Event Processing,22,Streaming Analytics,Real-time event detection and processing,"Apache Kafka Streams, Azure Stream Analytics, AWS Kinesis Analytics",PT-016,Stream Processing Pattern,Stream Processing with windowing for transaction pattern detection.
314,Evidence Automation,135,Automated Evidence Collection,Automated evidence collection,"Custom Evidence Collector, eDiscovery",PT-007,Agentic AI Pattern,Agentic AI autonomous evidence collection with IDP analysis.
204,Evidence Collection,86,Case Management Integration,Automated evidence collection from systems,"Custom Evidence Collector, eDiscovery Tools",PT-007,Agentic AI Pattern,Agentic AI for autonomous evidence gathering across systems.
296,Evidence Collection,126,RPA Evidence Gathering,Automated evidence collection,"UiPath, Power Automate, Custom RPA",PT-007,Agentic AI Pattern,Agentic AI for autonomous evidence gathering. Tool orchestration.
67,Exception Queue,30,Human-in-the-Loop,Queue management for exceptions,"Custom Queue System, Azure Service Bus, AWS SQS",PT-011,Intelligent Document Processing (IDP),IDP exception queue for <90% confidence extractions. HITL feedback loop.
30,Experiment Tracking,15,AutoML Platform,System for tracking ML experiments,"MLflow Tracking, Azure ML Experiments, Weights & Biases",PT-002,MLOps Level 2+ with Governance,MLOps Level 2+ experiment tracking with governance and lineage.
84,Experimentation Platform,37,A/B Testing Framework,Platform for running controlled experiments,"Optimizely, LaunchDarkly, Azure Experimentation, Custom Platform",PT-010,Champion/Challenger Testing Pattern,Champion/Challenger experimentation with statistical testing.
41,External Data Sources,20,Alternative Data Analytics,Third-party data sources for enhanced analytics,"Credit Bureaus, Market Data Providers, Social Media Data",PT-003,Feature Store (Dual-Store),Feature Store for external data features with point-in-time joins.
27,Feature Engineering,14,Predictive ML Models,Tools and pipelines for transforming raw data into ML features,"Feature Tools, Azure ML Feature Engineering, Custom Pipelines",PT-003,Feature Store (Dual-Store),Feature Store with automated feature engineering and point-in-time joins.
5,Feature Store,2,Predictive Analytics Engine,Centralized repository for ML features,"Feast, Tecton, Azure ML Feature Store, AWS SageMaker Feature Store, Databricks Feature Store",PT-003,Feature Store (Dual-Store),MANDATORY Feature Store dual-store architecture. <10ms online retrieval. 75% of ML use cases.
258,Financial Analysis,109,LLM Corporate Intelligence,LLM-based financial analysis,"Azure OpenAI GPT-4, Custom Financial LLM",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG over financial statements. Hybrid search.
330,Financial Analysis,141,NLP Covenant Monitoring,Financial statement analysis,"Custom Financial Analyzer, NLP-based Analysis",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG for covenant document analysis.
322,Financial Extraction,138,AI Financial Spreading,Extraction of financial data,"Custom Financial Extractor, ML-based Extraction",PT-011,Intelligent Document Processing (IDP),IDP financial extraction with 99% accuracy.
15,Financial Templates,8,GenAI Narrative Generation,Pre-built templates for financial reporting,"Custom Financial Report Templates, SAP Analytics Cloud Templates",PT-006,Multi-Model Routing,Multi-Model Routing for financial narrative with task-based routing.
300,Forecasting Engine,128,Outcome Forecasting,Forecasting engine for predictions,"Custom Forecasting, Time Series Models",PT-014,Batch Prediction Pattern,Batch prediction for outcome forecasting with MLOps governance.
262,Forecasting Models,110,ML Deal Forecasting,ML forecasting models,"Time Series Models, Custom ML Forecasting",PT-014,Batch Prediction Pattern,Batch prediction for deal forecasting.
194,Framework Connector,80,Compliance Framework Integration,Connectors to compliance frameworks,"Custom Connectors, API Integration",PT-001,Enterprise AI Governance Platform,Governance compliance framework connectors.
195,Fraud Detection,81,ML Fraud Detection,ML models for fraud detection,"FICO Falcon, SAS Fraud, AWS Fraud Detector, Custom Models",PT-009,Real-Time ML Scoring Pattern,Real-time fraud detection with 200-300ms decisioning. Tier 1 regulatory.
161,Fuzzy Logic,67,Fuzzy Name Matching ML,Fuzzy logic algorithms for approximate matching,"FuzzyWuzzy, RapidFuzz, Custom Fuzzy Logic",PT-009,Real-Time ML Scoring Pattern,Real-time name matching with Feature Store identity features.
346,Generative AI,149,Text-to-Media Generation,Generative AI for media creation,"DALL-E, Midjourney, Stable Diffusion",PT-006,Multi-Model Routing,Multi-Model Routing for multi-modal content generation.
168,Graph Analytics,71,Network Analysis,Graph database and analytics for relationship mapping,"Neo4j, Azure Cosmos DB Gremlin, AWS Neptune, TigerGraph",PT-009,Real-Time ML Scoring Pattern,Real-time graph analytics for pattern detection. Network analysis.
197,Graph Database,83,Graph Analytics,Graph database for relationship storage,"Neo4j, Azure Cosmos DB Gremlin, AWS Neptune",PT-009,Real-Time ML Scoring Pattern,Real-time graph analytics for fraud ring detection.
241,GRC Connector,101,GRC Platform Integration,Connectors to GRC platforms,"ServiceNow GRC API, SAP GRC API, Custom Connector",PT-001,Enterprise AI Governance Platform,Governance GRC integration with compliance dashboards.
270,Historical Retrieval,114,RAG Knowledge Retrieval,Retrieval of historical knowledge and context,"Custom RAG System, Azure AI Search",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG over CRM and deal history.
66,Human Task Management,30,Human-in-the-Loop,Task management for human review,"ServiceNow, Pega, Custom Task Management",PT-011,Intelligent Document Processing (IDP),IDP human task management with feedback loop.
211,ID Verification,88,Computer Vision ID Verification,Identity document verification service,"Onfido, Jumio, Trulioo, Idemia",PT-011,Intelligent Document Processing (IDP),IDP ID verification with liveness and document forensics.
143,IDE Integration,60,GitHub Copilot,Integration with development environments,"VS Code Extension, Visual Studio Extension, JetBrains Plugin",PT-006,Multi-Model Routing,Multi-Model Routing IDE integration with code security compliance.
223,Identity Verification,93,Biometric Authentication,Identity verification and authentication,"Azure Entra ID, Onfido, Jumio",PT-018,Security and Privacy Pattern,Security & Privacy identity verification with privacy protection.
376,Image Generation,161,Computer Vision Image AI,AI-based image generation,"DALL-E, Midjourney, Stable Diffusion",PT-006,Multi-Model Routing,Multi-Model Routing for multi-modal image generation.
253,Incident Automation,107,RPA Incident Resolution,Automated incident resolution,"ServiceNow Automation, Custom Automation",PT-007,Agentic AI Pattern,Agentic AI for autonomous incident resolution. Tool orchestration.
125,Incident Reporting,51,GenAI Security Reports,Incident report generation and management,"ServiceNow Security Operations, Custom Reporting",PT-006,Multi-Model Routing,Multi-Model Routing for security report generation.
31,Insight Templates,16,GenAI Insight Generation,Pre-built templates for generating insights,"Custom Insight Templates, Analytics Report Templates",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG for insight generation with Multi-Model Routing.
93,Intent Classifier,40,NLP Intent & Sentiment,ML model for classifying user intents,"Azure LUIS, Custom BERT-based Classifier, AWS Comprehend",PT-013,Conversational AI Pattern,Conversational AI intent classification with sentiment analysis.
89,Intent Recognition,38,Conversational AI Virtual Agents,NLP service for recognizing user intents,"Azure LUIS, AWS Lex, Dialogflow, Custom Intent Classifier",PT-013,Conversational AI Pattern,Conversational AI intent recognition with context management.
284,Invoice Processing,121,OCR Invoice Matching,Invoice processing and extraction,"Azure Form Recognizer, UiPath Document Understanding",PT-011,Intelligent Document Processing (IDP),IDP invoice processing with 99% accuracy.
255,ITSM Connector,108,ITSM Integration,Connector to IT Service Management systems,"ServiceNow API, BMC Remedy API, Custom Connector",PT-017,Observability and Monitoring Pattern,Observability ITSM integration with unified dashboards.
91,Knowledge Base,39,Agent Assist with RAG,Structured knowledge repository for agent assistance,"Azure Cognitive Search, SharePoint, Custom Knowledge Base",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG knowledge base with hybrid search.
1,Knowledge Management,1,RAG (Retrieval Augmented Generation),Enterprise knowledge repository,"SharePoint, Confluence, Knowledge Graph DB, Document Management System",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG knowledge management with hybrid search and reranking.
247,Knowledge Matching,104,Similarity Analysis,Knowledge article matching to issues,"ServiceNow Knowledge, Custom Matcher",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG for incident knowledge retrieval.
237,KRI Engine,99,Predictive KRI Dashboard,Key Risk Indicator calculation and monitoring,"Custom KRI Engine, GRC System",PT-017,Observability and Monitoring Pattern,Observability KRI engine with real-time dashboards.
213,KYC Processing,89,OCR Document Processing,KYC document processing and verification,"Fenergo, Onfido, Custom KYC System",PT-011,Intelligent Document Processing (IDP),IDP for KYC with <5 minute processing. 99% accuracy.
338,Learning Content,145,GenAI Lesson Generation,Learning content generation,"Azure OpenAI, Custom Content Generator",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG over training materials. 80% content time reduction.
349,Learning Metrics,150,Learning Analytics,Learning analytics and metrics,"LMS Analytics, Custom Learning Analytics",PT-017,Observability and Monitoring Pattern,Observability learning analytics with engagement tracking.
341,Learning Paths,147,ML Learning Recommendations,Personalized learning path creation,"Custom Recommendation, LMS Personalization",PT-009,Real-Time ML Scoring Pattern,Real-time learning recommendations with Feature Store profiles.
352,Learning Platform,151,LMS Integration,Learning platform integration,"Moodle, Canvas, Cornerstone, SAP SuccessFactors",PT-001,Enterprise AI Governance Platform,Governance LMS integration with content compliance.
193,Lineage Tracking,80,Compliance Framework Integration,Data lineage tracking and visualization,"Azure Purview Lineage, Collibra Lineage, Apache Atlas",PT-012,Data Mesh Pattern,Data Mesh lineage tracking with federated governance.
210,Liveness Detection,88,Computer Vision ID Verification,Liveness detection for preventing spoofing,"Azure Face Liveness, Onfido, iProov",PT-011,Intelligent Document Processing (IDP),IDP liveness detection for fraud prevention.
7,LLM API,3,GenAI Content Generation,API gateway for Large Language Model access,"Azure OpenAI API, AWS Bedrock API, Anthropic API, OpenAI API",PT-006,Multi-Model Routing,Multi-Model Routing LLM API with cost-optimized model selection. 30-50% savings.
3,LLM Integration,1,RAG (Retrieval Augmented Generation),Integration layer for LLM APIs,"Azure OpenAI Service, AWS Bedrock, Anthropic Claude API, OpenAI API Gateway",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG LLM integration with self-critique loop.
351,LMS Connector,151,LMS Integration,Connector to Learning Management Systems,"Moodle API, Canvas API, Custom LMS Connector",PT-001,Enterprise AI Governance Platform,Governance LMS connector with content audit trails.
113,Log Aggregation,47,SIEM Integration,Log collection and aggregation service,"Microsoft Sentinel, Splunk, Azure Log Analytics",PT-015,Event-Driven Architecture,Event-driven log aggregation with real-time correlation.
153,Log Analysis,64,AI Debugging,Log analysis for root cause identification,"Azure Monitor, Splunk, ELK Stack, Custom Analysis",PT-007,Agentic AI Pattern,Agentic AI log analysis with autonomous debugging.
227,Loss Forecasting,95,ML Risk Forecasting,Loss forecasting models,"SAS, FICO, Custom Forecasting Models",PT-014,Batch Prediction Pattern,Batch loss forecasting with Feature Store risk features.
335,Market Analysis,143,Pricing Optimization ML,Market data analysis for pricing,"Bloomberg API, Custom Market Analysis",PT-003,Feature Store (Dual-Store),Feature Store for market data features with pricing optimization.
259,Market Intelligence,109,LLM Corporate Intelligence,Market intelligence aggregation and analysis,"Bloomberg API, Refinitiv, Custom Market Intel",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG over market data for intelligence synthesis.
347,Media Creation,149,Text-to-Media Generation,Media content creation tools,"Adobe Creative Cloud, Custom Media Tools",PT-006,Multi-Model Routing,Multi-Model Routing for multi-modal media creation.
163,Media Monitoring,68,NLP Adverse Media Screening,Service for monitoring news and media,"Dow Jones, LexisNexis, Refinitiv, Custom Web Scraping",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG over adverse media sources.
328,Memo Generation,140,GenAI Credit Memos,Automated memo generation,"Azure OpenAI, Custom Generator",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG memo generation with compliance validation.
32,Metadata Management,17,Semantic Layer,System for managing business and technical metadata,"Azure Purview, Collibra, Informatica MDM, Alation",PT-012,Data Mesh Pattern,Data Mesh metadata management with federated governance.
179,ML Classifier,74,ML Anomaly Detection,Classification models for anomaly detection,"Isolation Forest, One-Class SVM, Autoencoders",PT-014,Batch Prediction Pattern,Batch anomaly classification with Observability dashboards.
290,ML Classifier,124,ML Dispute Classification,ML classifier for dispute types,"Custom Classification Model, Azure ML",PT-009,Real-Time ML Scoring Pattern,Real-time dispute classification.
123,ML Detection,50,Network Traffic Analysis AI,ML-based detection of network anomalies,"Darktrace, Vectra AI, Custom ML Detection",PT-016,Stream Processing Pattern,Stream Processing for real-time network anomaly detection.
46,ML Ensemble Framework,23,Ensemble ML Models,Framework for combining multiple ML models,"Scikit-learn Ensemble, XGBoost, Custom Ensemble Framework",PT-010,Champion/Challenger Testing Pattern,Champion/Challenger ensemble validation with statistical testing.
162,ML Matching,67,Fuzzy Name Matching ML,ML models for entity matching,"Custom ML Models, Azure Entity Resolution",PT-009,Real-Time ML Scoring Pattern,Real-time entity matching with Feature Store features.
26,ML Model Registry,14,Predictive ML Models,Central repository for ML models,"MLflow Registry, Azure ML Model Registry, AWS SageMaker Model Registry",PT-002,MLOps Level 2+ with Governance,MLOps Level 2+ model registry with governance and versioning.
4,ML Model Serving,2,Predictive Analytics Engine,Infrastructure for deploying ML models,"AWS SageMaker, Azure ML, Seldon Core, KServe",PT-009,Real-Time ML Scoring Pattern,Real-time model serving with <500ms latency. Champion/Challenger.
228,ML Models,95,ML Risk Forecasting,Machine learning model repository,"AWS SageMaker, Azure ML, MLflow",PT-014,Batch Prediction Pattern,Batch risk models with MLOps Level 2+ governance.
277,ML Models,117,ML Spend Analytics,ML models for procurement analytics,"Custom ML Models, Azure ML",PT-014,Batch Prediction Pattern,Batch procurement analytics with Feature Store features.
323,ML Parser,138,AI Financial Spreading,ML-based document parsing,"Custom ML Parser, Azure Form Recognizer",PT-011,Intelligent Document Processing (IDP),IDP ML parsing with 99% accuracy.
216,ML Scoring,90,ML Risk Assessment,ML-based scoring for risk assessment,"Custom ML Scoring, FICO Score",PT-009,Real-Time ML Scoring Pattern,Real-time risk scoring with Feature Store features.
383,Mobile SDK,165,Mobile SDK Integration,Mobile application SDK,"iOS SDK, Android SDK, React Native",PT-015,Event-Driven Architecture,Event-driven mobile SDK with behavioral event streaming.
173,Model Aggregation,72,Ensemble Risk Scoring,Aggregation of multiple model outputs,"Custom Aggregation, Ensemble Voting, Stacking",PT-010,Champion/Challenger Testing Pattern,Champion/Challenger model aggregation with validation.
47,Model Combination,23,Ensemble ML Models,Techniques for combining predictions,"Voting, Stacking, Blending, Model Averaging",PT-010,Champion/Challenger Testing Pattern,Champion/Challenger model combination validation.
50,Model Interpretation,24,Explainable AI (XAI),Tools for interpreting model behavior,"SHAP, LIME, Azure Responsible AI, AWS SageMaker Clarify, DiCE",PT-004,ML Model Explainability (SHAP/LIME),MANDATORY SHAP/LIME explainability with counterfactual generation.
29,Model Training,15,AutoML Platform,Infrastructure for training ML models,"AWS SageMaker Training, Azure ML Training, Custom Training",PT-002,MLOps Level 2+ with Governance,MLOps Level 2+ training with automated governance checks.
256,Monitoring Integration,108,ITSM Integration,Integration with monitoring tools,"Datadog Integration, New Relic Integration",PT-017,Observability and Monitoring Pattern,Observability monitoring integration with unified dashboards.
189,Monitoring Platform,79,Real-time Monitoring System,Platform for real-time monitoring,"Azure Monitor, Datadog, New Relic, Prometheus + Grafana",PT-017,Observability and Monitoring Pattern,Observability platform with real-time alerting.
274,Multi-agent System,116,Agentic AI Orchestration,Multi-agent system architecture,"AutoGen, CrewAI, LangGraph, Custom Multi-agent",PT-008,Multi-Agent Orchestration,Multi-Agent Orchestration with specialized agents. Gartner: 33% by 2028.
196,Multi-system Integration,82,GenAI Case Summarization,Integration across multiple systems,"MuleSoft, Azure Logic Apps, Custom Integration",PT-006,Multi-Model Routing,Multi-Model Routing for case summarization across systems.
160,Name Matching Engine,67,Fuzzy Name Matching ML,Engine for fuzzy and ML-based name matching,"Custom Name Matcher, Azure Entity Matching, Dedupe.io",PT-009,Real-Time ML Scoring Pattern,Real-time name matching with sub-second detection.
57,NER Service,26,NLP Document Classification,Named Entity Recognition service,"Azure AI Language NER, AWS Comprehend, spaCy NER",PT-011,Intelligent Document Processing (IDP),IDP NER for document entity extraction.
240,Network Analysis,100,Network Risk Analysis,Network analysis for interconnected risks,"Neo4j, Custom Network Analysis",PT-014,Batch Prediction Pattern,Batch network analysis for cross-domain risk.
302,Network Connector,130,Card Network Integration,Connectors to card networks,"Visa Connect, Mastercard APIs, Custom Connector",PT-015,Event-Driven Architecture,Event-driven card network integration.
121,Network Monitoring,50,Network Traffic Analysis AI,Network traffic monitoring tools,"AWS VPC Flow Logs, Cisco Stealthwatch, Darktrace",PT-016,Stream Processing Pattern,Stream Processing for real-time network traffic analysis.
170,Network Visualization,71,Network Analysis,Network graph visualization tools,"D3.js, Cytoscape, Neo4j Bloom, Gephi",PT-017,Observability and Monitoring Pattern,Observability network visualization dashboards.
381,Neural Networks,164,Deep Learning Recommendations,Neural network architectures,"TensorFlow, PyTorch, Custom Neural Networks",PT-009,Real-Time ML Scoring Pattern,Real-time deep learning with Feature Store features.
16,NLG Engine,8,GenAI Narrative Generation,Natural Language Generation engine,"Arria NLG, Automated Insights, Custom LLM-based NLG",PT-006,Multi-Model Routing,Multi-Model Routing NLG with task-based routing.
55,NLP Framework,26,NLP Document Classification,Framework for natural language processing,"spaCy, NLTK, AWS Comprehend, Hugging Face Transformers",PT-011,Intelligent Document Processing (IDP),IDP NLP framework with BERT-based classification.
11,Notification Service,4,Real-time Alerting with ML,Multi-channel notification service,"AWS SNS, Twilio, SendGrid, Microsoft Teams Integration",PT-015,Event-Driven Architecture,Event-driven notifications with real-time alerting.
52,OCR Service,25,OCR Engine,Optical Character Recognition service,"AWS Textract, Azure Form Recognizer, ABBYY",PT-011,Intelligent Document Processing (IDP),IDP ensemble OCR with 99% extraction accuracy.
364,Offer Optimization,156,Settlement Offer ML,Settlement offer optimization,"Custom Offer Model, Predictive Optimization",PT-014,Batch Prediction Pattern,Batch offer optimization with MLOps governance.
80,Optimization Engine,35,Multi-Armed Bandit Algorithm,Mathematical optimization for resource allocation,"Custom Optimization, OR-Tools, Gurobi, CPLEX",PT-010,Champion/Challenger Testing Pattern,Champion/Challenger optimization with statistical testing.
334,Optimization Engine,143,Pricing Optimization ML,Mathematical optimization engine,"Gurobi, OR-Tools, Custom Optimization",PT-010,Champion/Challenger Testing Pattern,Champion/Challenger pricing optimization.
357,Optimization Engine,153,Optimization Algorithms,Mathematical optimization engine,"Gurobi, CPLEX, OR-Tools, Custom Optimization",PT-009,Real-Time ML Scoring Pattern,Real-time prioritization with dynamic allocation.
37,Orchestration,18,Data Ingestion Integration,Workflow orchestration for data processing,"Apache Airflow, Prefect, Dagster, Temporal",PT-015,Event-Driven Architecture,Event-driven orchestration with Stream Processing.
82,Orchestration Platform,36,Journey Orchestration,Platform for orchestrating customer interactions,"Adobe Journey Optimizer, Pega, Custom Orchestration",PT-015,Event-Driven Architecture,Event-driven journey orchestration with real-time triggers.
265,Org Mapping,112,Network Relationship Mapping,Organizational relationship mapping,"Custom Org Mapper, CRM Hierarchy Visualizer",PT-003,Feature Store (Dual-Store),Feature Store for corporate client hierarchy features.
299,Outcome Analysis,128,Outcome Forecasting,Analysis of dispute outcomes,"Custom Outcome Analyzer, Historical Analysis",PT-014,Batch Prediction Pattern,Batch outcome forecasting with MLOps governance.
289,P2P Integration,123,ERP Integration,Procure-to-Pay integration,"Coupa Integration, SAP Ariba, Custom Integration",PT-001,Enterprise AI Governance Platform,Governance P2P integration with procurement compliance.
308,Pattern Analysis,132,ML Control Anomaly Detection,Pattern analysis for control deviations,"Custom ML Analysis, Statistical Process Control",PT-014,Batch Prediction Pattern,Batch pattern analysis for control monitoring.
198,Pattern Mining,83,Graph Analytics,Pattern mining algorithms on graph data,"Neo4j Graph Data Science, Custom Algorithms",PT-009,Real-Time ML Scoring Pattern,Real-time graph pattern mining for fraud detection.
111,Pattern Recognition,46,Deep Learning Threat Detection,Pattern recognition algorithms for threat detection,"Custom ML Models, Deep Learning CNNs, RNNs",PT-009,Real-Time ML Scoring Pattern,Real-time threat pattern recognition.
178,Pattern Recognition,74,ML Anomaly Detection,Pattern recognition for detecting deviations,"Custom ML Models, Statistical Methods",PT-014,Batch Prediction Pattern,Batch anomaly pattern recognition.
356,Payment Scoring,152,Payment Propensity ML,Payment behavior scoring,"Custom Payment Score, FICO Score",PT-014,Batch Prediction Pattern,Batch payment scoring with Feature Store features.
304,Payment Systems,130,Card Network Integration,Payment system integration,"Payment Gateway, Card Network APIs",PT-015,Event-Driven Architecture,Event-driven payment processing.
325,PD/LGD Calculation,139,Credit Rating ML,Probability of Default and Loss Given Default,"Basel Models, Custom PD/LGD Models",PT-009,Real-Time ML Scoring Pattern,Real-time PD/LGD with MANDATORY Explainability.
220,PEP Detection,92,NLP Sanctions Screening,Politically Exposed Person detection,"Dow Jones, Refinitiv, Custom PEP Detection",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG over sanctions databases.
375,Persona Targeting,160,LLM Content Variants,Persona-based content targeting,"CDP Personas, Custom Persona Engine",PT-006,Multi-Model Routing,Multi-Model Routing for persona-targeted content.
342,Personalization,147,ML Learning Recommendations,Learning experience personalization,"Custom Personalization, LMS Features",PT-009,Real-Time ML Scoring Pattern,Real-time learning personalization with Feature Store.
74,Personalization Engine,33,GenAI Personalized Content,Engine for personalizing content at scale,"Adobe Target, Azure Personalizer, Custom Personalization",PT-006,Multi-Model Routing,Multi-Model Routing for personalized content. 30-50% savings.
139,Pipeline Automation,59,DataOps with CI/CD,Automated data pipeline deployment,"Azure DevOps, GitLab CI/CD, GitHub Actions",PT-002,MLOps Level 2+ with Governance,MLOps Level 2+ pipeline automation with governance.
260,Pipeline Prediction,110,ML Deal Forecasting,Sales pipeline prediction models,"Salesforce Einstein, Custom Pipeline Models",PT-014,Batch Prediction Pattern,Batch pipeline prediction with Feature Store features.
320,Platform Integration,137,GRC System Integration,Integration with GRC platforms,"ServiceNow API, SAP GRC API, MetricStream API",PT-001,Enterprise AI Governance Platform,Governance GRC platform integration.
120,Playbook Execution,49,AI-powered SOAR,Automated playbook execution for incident response,"Microsoft Sentinel, XSOAR, Splunk SOAR",PT-007,Agentic AI Pattern,Agentic AI playbook execution with tool orchestration.
