id,name,component id,component name,ABB description,candidate SBBs,Primary Pattern ID,Primary Pattern Name,2025 Enhancement
336,Portfolio Analytics,144,Portfolio Analytics Dashboard,Portfolio analytics and reporting,"Custom Portfolio Analytics, Risk Analytics",PT-017,Observability and Monitoring Pattern,Observability portfolio dashboards with stress testing.
238,Predictive Analytics,99,Predictive KRI Dashboard,Predictive analytics for forward-looking KRIs,"Custom Predictive Models, Azure ML",PT-017,Observability and Monitoring Pattern,Observability predictive KRI analytics.
249,Predictive Model,106,Predictive SLA Analytics,Predictive models for SLA forecasting,"Custom Predictive Models, ServiceNow Predictive Intelligence",PT-014,Batch Prediction Pattern,Batch SLA prediction with Observability dashboards.
283,Predictive Models,120,Supplier Risk Scoring,Predictive models for supplier risk,"Custom Risk Models, Third-party Data",PT-009,Real-Time ML Scoring Pattern,Real-time supplier risk scoring.
333,Pricing Model,143,Pricing Optimization ML,Pricing optimization models,"Custom Pricing Models, ML-based Pricing",PT-010,Champion/Challenger Testing Pattern,Champion/Challenger pricing validation.
358,Prioritization,153,Optimization Algorithms,Resource prioritization algorithms,"Custom Prioritization, Optimization Models",PT-009,Real-Time ML Scoring Pattern,Real-time resource prioritization.
183,Prioritization Engine,76,Risk Scoring Algorithm,Engine for prioritizing cases by risk score,"Custom Prioritization, FICO Prioritization",PT-009,Real-Time ML Scoring Pattern,Real-time risk prioritization.
64,Process Automation,29,RPA Integration,Tools for automating repetitive processes,"Power Automate, UiPath, Custom Automation",PT-007,Agentic AI Pattern,Agentic AI replacing brittle RPA with intelligent automation.
218,Process Automation,91,Workflow Automation Integration,Business process automation,"Pega BPM, Power Automate, Camunda",PT-007,Agentic AI Pattern,Agentic AI for adaptive workflow orchestration.
382,Product Recommendations,164,Deep Learning Recommendations,Product recommendation system,"Custom Recommendation, Collaborative Filtering, AWS Personalize",PT-009,Real-Time ML Scoring Pattern,Real-time recommendations with Feature Store features.
128,Profiling Engine,54,ML Data Quality,Data profiling engine for quality assessment,"Great Expectations, Soda, Azure Data Quality",PT-017,Observability and Monitoring Pattern,Observability data quality profiling with drift detection.
187,Profiling Engine,78,Data Quality Profiling,Data profiling for quality assessment,"Great Expectations, Soda, Talend Data Quality",PT-017,Observability and Monitoring Pattern,Observability data profiling with automated alerting.
8,Prompt Engineering,3,GenAI Content Generation,Framework for designing and managing prompts,"LangChain, Semantic Kernel, PromptFlow, Custom Prompt Management",PT-006,Multi-Model Routing,Multi-Model Routing prompt engineering with task optimization.
354,Propensity Model,152,Payment Propensity ML,Payment propensity scoring model,"Custom Propensity Model, ML Classification",PT-014,Batch Prediction Pattern,Batch propensity scoring with Feature Store features.
101,Quality Framework,43,AI Quality Monitoring,Framework for monitoring and assuring quality,"Custom Quality Framework, Nice Quality Management",PT-017,Observability and Monitoring Pattern,Observability quality monitoring with coaching triggers.
188,Quality Metrics,78,Data Quality Profiling,Metrics and KPIs for data quality,"Custom Metrics, Data Quality Dashboards",PT-017,Observability and Monitoring Pattern,Observability quality metrics with dashboards.
24,Query Translation,13,Natural Language Query (NLQ),Service for translating natural language to queries,"Custom NL2SQL Service, Text-to-SQL Models",PT-013,Conversational AI Pattern,Conversational AI query translation with RAG context.
99,Queue Management,42,ML Intelligent Routing,Queue management system for optimizing wait times,"Genesys Queue, Custom Queue Manager, Azure Service Bus",PT-009,Real-Time ML Scoring Pattern,Real-time queue optimization with ML routing.
339,Quiz Generation,145,GenAI Lesson Generation,Automated quiz generation,"Custom Quiz Generator, LLM-based Generation",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG quiz generation from content.
90,RAG Framework,39,Agent Assist with RAG,Retrieval Augmented Generation framework,"LangChain, LlamaIndex, Semantic Kernel, Custom RAG",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),2025 Self-Reflective RAG with hybrid search, reranking, self-critique.
326,Rating Engine,139,Credit Rating ML,Credit rating calculation engine,"Custom Rating Engine, FICO Platform",PT-009,Real-Time ML Scoring Pattern,Real-time credit rating with Tier 1 governance.
45,Real-time Analytics,22,Streaming Analytics,Analytics on streaming data in real-time,"Apache Flink, Spark Streaming, Kafka Streams",PT-016,Stream Processing Pattern,Stream Processing with windowing for real-time analytics.
203,Real-time Detection,85,Real-time Transaction Monitoring,Real-time fraud and risk detection,"FICO Real-time Decisioning, Custom Detection",PT-009,Real-Time ML Scoring Pattern,Real-time fraud detection with 200-300ms latency.
318,Real-time Monitoring,136,Control Monitoring Dashboard,Real-time control monitoring,"Custom Dashboard, Power BI Real-time",PT-017,Observability and Monitoring Pattern,Observability real-time control dashboards.
191,Real-time Processing,79,Real-time Monitoring System,Real-time data processing infrastructure,"Apache Kafka, Azure Event Hubs, Spark Streaming",PT-016,Stream Processing Pattern,Stream Processing for real-time event handling.
287,Real-time Reporting,122,Real-time Spend Dashboard,Real-time reporting dashboards,"Power BI, Tableau, Custom Dashboard",PT-017,Observability and Monitoring Pattern,Observability real-time spend dashboards.
77,Real-time Scoring,34,Real-time Decisioning Engine,Real-time scoring service for immediate decision-making,"Custom Scoring API, FICO Score Service, Azure ML Real-time",PT-009,Real-Time ML Scoring Pattern,Real-time scoring with <500ms latency. Feature Store integration.
71,Recommendation Engine,32,ML Recommendation Engine,ML-powered recommendation system,"AWS Personalize, Azure Personalizer, Custom Recommendation Engine",PT-009,Real-Time ML Scoring Pattern,Real-time recommendations with Champion/Challenger optimization.
175,Regulatory Connector,73,Sanctions DB Integration,Connectors to regulatory databases,"Dow Jones API, Refinitiv API, Custom Connector",PT-001,Enterprise AI Governance Platform,Governance regulatory connectors with audit trails.
165,Regulatory Reporting,69,GenAI Compliance Narratives,Automated regulatory reporting,"Custom Reporting, Compliance Reporting Tools",PT-006,Multi-Model Routing,Multi-Model Routing for SAR narrative generation.
235,Regulatory Reporting,98,GenAI Risk Narratives,Regulatory reporting and filing,"Custom Regulatory Reports, Compliance Reporting",PT-006,Multi-Model Routing,Multi-Model Routing for regulatory narratives.
78,Reinforcement Learning,35,Multi-Armed Bandit Algorithm,RL framework for optimizing decisions,"Custom RL Framework, AWS RL, Ray RLlib",PT-010,Champion/Challenger Testing Pattern,Champion/Challenger with RL optimization.
199,Relationship Analysis,83,Graph Analytics,Analysis of relationships and connections,"Neo4j Analytics, Custom Graph Analytics",PT-009,Real-Time ML Scoring Pattern,Real-time relationship analysis for fraud detection.
169,Relationship Mapping,71,Network Analysis,Visualization and analysis of entity relationships,"Neo4j Bloom, Linkurious, Custom Visualization",PT-003,Feature Store (Dual-Store),Feature Store for relationship features.
266,Relationship Visualization,112,Network Relationship Mapping,Visualization of relationship networks,"D3.js, Neo4j Bloom, Custom Visualization",PT-017,Observability and Monitoring Pattern,Observability relationship visualization dashboards.
19,Report Engine,10,Automated Report Generation,Automated report generation system,"Power BI, SSRS, Crystal Reports, Custom Report Generator",PT-008,Multi-Agent Orchestration,Multi-Agent Reporting Agent for automated report generation.
186,Report Generation,77,GenAI Audit Reports,Automated report generation service,"Power BI, SSRS, Custom LLM-based Generator",PT-006,Multi-Model Routing,Multi-Model Routing for audit report generation.
264,Report Generation,111,GenAI Client Briefings,Automated report generation,"Power BI, Custom Report Generator",PT-007,Agentic AI Pattern,Agentic AI for autonomous briefing generation.
158,Requirements Templates,66,GenAI User Story Elaboration,Templates for user stories and requirements,"Custom Story Templates, JIRA Templates, Azure DevOps Templates",PT-006,Multi-Model Routing,Multi-Model Routing for requirements generation.
254,Resolution Scripts,107,RPA Incident Resolution,Pre-built resolution scripts and playbooks,"ServiceNow Playbooks, Custom Scripts",PT-007,Agentic AI Pattern,Agentic AI resolution with tool orchestration.
359,Resource Allocation,153,Optimization Algorithms,Resource allocation optimization,"Linear Programming, Custom Allocation",PT-009,Real-Time ML Scoring Pattern,Real-time resource allocation optimization.
248,Response Generation,105,GenAI Response Generation,Automated response generation,"Azure OpenAI, Custom LLM-based Generator",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG response generation with Multi-Model Routing.
280,RFP Templates,119,GenAI RFP Generation,Templates for RFPs and procurement docs,"Custom RFP Templates, Procurement Templates",PT-006,Multi-Model Routing,Multi-Model Routing for RFP generation.
48,Risk Aggregation,23,Ensemble ML Models,Aggregation of risk metrics across portfolios,"Custom Risk Aggregation, SAS Risk Aggregation",PT-010,Champion/Challenger Testing Pattern,Champion/Challenger risk aggregation validation.
164,Risk Analysis,68,NLP Adverse Media Screening,Risk analysis from adverse media findings,"Custom Risk Scoring, Dow Jones Risk & Compliance",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG over adverse media for risk analysis.
239,Risk Correlation,100,Network Risk Analysis,Risk correlation analysis across entities,"Custom Risk Correlation, SAS Risk",PT-014,Batch Prediction Pattern,Batch risk correlation analysis.
242,Risk Integration,101,GRC Platform Integration,Risk data integration across systems,"Custom Integration, GRC API",PT-001,Enterprise AI Governance Platform,Governance risk integration with GRC platforms.
231,Risk Modeling,96,Monte Carlo Simulation,Risk modeling and quantification,"SAS Risk, FICO, Custom Risk Models",PT-014,Batch Prediction Pattern,Batch risk modeling with stress testing.
38,Risk Models,19,Credit Scoring ML,Pre-built and custom risk assessment models,"SAS Risk Models, FICO Models, Custom Credit Models",PT-009,Real-Time ML Scoring Pattern,Real-time credit risk with MANDATORY Explainability.
214,Risk Models,90,ML Risk Assessment,Risk assessment models for customer profiling,"FICO, SAS Risk Models, Custom Risk Models",PT-009,Real-Time ML Scoring Pattern,Real-time risk assessment with Feature Store.
226,Risk Prediction,95,ML Risk Forecasting,ML models for risk prediction,"SAS Risk, Custom Predictive Models",PT-014,Batch Prediction Pattern,Batch risk prediction with governance.
172,Risk Scoring,72,Ensemble Risk Scoring,Risk scoring algorithms and models,"FICO Score, Custom Risk Models, SAS Risk",PT-010,Champion/Challenger Testing Pattern,Champion/Challenger risk scoring validation.
234,Risk Templates,98,GenAI Risk Narratives,Templates for risk reporting and narratives,"Custom Risk Templates, Regulatory Templates",PT-006,Multi-Model Routing,Multi-Model Routing for risk narratives.
310,Risk-based Testing,133,Risk-based Sampling,Risk-based test selection,"Custom Risk-based Testing, Audit Sampling",PT-014,Batch Prediction Pattern,Batch risk-based sampling optimization.
360,RL Framework,154,Reinforcement Learning,Reinforcement learning framework,"Ray RLlib, Custom RL Framework",PT-010,Champion/Challenger Testing Pattern,Champion/Challenger with RL strategy optimization.
154,Root Cause Engine,64,AI Debugging,Engine for identifying root causes,"Custom RCA Engine, ServiceNow",PT-007,Agentic AI Pattern,Agentic AI root cause analysis with autonomous debugging.
98,Routing Engine,42,ML Intelligent Routing,Intelligent routing system for contact center,"Genesys Routing, Nice Routing, Custom ML Routing",PT-009,Real-Time ML Scoring Pattern,Real-time ML routing with Feature Store agent features.
62,RPA Platform,29,RPA Integration,Robotic Process Automation platform,"UiPath, Automation Anywhere, Blue Prism, Power Automate",PT-007,Agentic AI Pattern,Agentic AI replacing RPA with intelligent automation.
252,RPA Platform,107,RPA Incident Resolution,RPA platform for automation,"UiPath, Power Automate, Automation Anywhere",PT-007,Agentic AI Pattern,Agentic AI for autonomous incident resolution.
59,Rule Engine,27,ML Validation Models,Business rules engine for validation,"Drools, AWS Step Functions, Custom Rules Engine",PT-011,Intelligent Document Processing (IDP),IDP rule engine with validation checks.
181,Rule Learning,75,AI-Enhanced Rule Engine,ML-based rule learning and generation,"Custom ML Rule Learner, AutoML Rule Generation",PT-007,Agentic AI Pattern,Agentic AI for autonomous rule generation.
76,Rules Engine,34,Real-time Decisioning Engine,Business rules engine for decision logic,"Drools, FICO Blaze Advisor, Custom Rules",PT-009,Real-Time ML Scoring Pattern,Real-time rules engine with ML optimization.
180,Rules Engine,75,AI-Enhanced Rule Engine,Business rules engine with AI enhancement,"Drools, FICO Blaze, Custom Rules",PT-007,Agentic AI Pattern,Agentic AI enhanced rules engine.
293,Rules Engine,125,Rule-based Decisioning,Rules engine for decisioning,"Drools, FICO Blaze, Custom Rules Engine",PT-009,Real-Time ML Scoring Pattern,Real-time rules with Explainability integration.
309,Sampling Algorithm,133,Risk-based Sampling,Risk-based sampling algorithms,"Custom Sampling, Statistical Sampling",PT-014,Batch Prediction Pattern,Batch risk-based sampling.
174,Sanctions Screening,73,Sanctions DB Integration,Sanctions list screening service,"Dow Jones, Refinitiv World-Check, OFAC API, Accuity",PT-001,Enterprise AI Governance Platform,Governance sanctions screening with audit trails.
39,Score Calculation,19,Credit Scoring ML,Engine for calculating risk scores,"Custom Scoring Engine, FICO Decision Engine",PT-009,Real-Time ML Scoring Pattern,Real-time score calculation with Explainability.
134,Search Engine,56,Semantic Search,Full-text and semantic search engine,"Elasticsearch, Azure AI Search, Solr",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG hybrid search engine.
147,Security Scanning,61,AI Code Review,Security vulnerability scanning,"Snyk, Checkmarx, GitHub Advanced Security, Veracode",PT-008,Multi-Agent Orchestration,Multi-Agent Security Agent for vulnerability scanning.
124,Security Templates,51,GenAI Security Reports,Pre-built templates for security reporting,"Custom Security Templates, NIST Templates, ISO Templates",PT-006,Multi-Model Routing,Multi-Model Routing for security report generation.
373,Segment Strategy,159,GenAI Campaign Strategy,Segment-specific strategy generation,"Custom Strategy Generator, LLM-based Planning",PT-006,Multi-Model Routing,Multi-Model Routing for campaign strategy.
367,Segmentation,157,Customer Segmentation ML,Customer segmentation models,"RFM Analysis, ML Segmentation, Custom Models",PT-014,Batch Prediction Pattern,Batch customer segmentation.
94,Sentiment Analysis,40,NLP Intent & Sentiment,Service for analyzing sentiment in text,"Azure AI Language, AWS Comprehend, Custom Sentiment Model",PT-013,Conversational AI Pattern,Conversational AI sentiment for escalation triggers.
267,Sentiment Analysis,113,Sentiment Analysis Dashboard,Sentiment analysis on news and communications,"Custom Sentiment Models, Azure Text Analytics",PT-017,Observability and Monitoring Pattern,Observability sentiment tracking dashboards.
257,Service Management,108,ITSM Integration,IT Service Management platform,"ServiceNow, BMC Remedy, Jira Service Management",PT-017,Observability and Monitoring Pattern,Observability ITSM integration.
365,Settlement Calculation,156,Settlement Offer ML,Settlement amount calculation,"Custom Settlement Logic, ML-based Calculation",PT-014,Batch Prediction Pattern,Batch settlement optimization.
112,SIEM Connector,47,SIEM Integration,Connector for SIEM systems,"Microsoft Sentinel Connector, Splunk Connector, QRadar Connector",PT-015,Event-Driven Architecture,Event-driven SIEM integration.
246,Similarity Engine,104,Similarity Analysis,Similarity matching engine for finding related items,"Custom Similarity Engine, Elasticsearch KNN",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG similarity matching.
229,Simulation Engine,96,Monte Carlo Simulation,Monte Carlo simulation engine for risk modeling,"@RISK, Crystal Ball, Python Monte Carlo",PT-014,Batch Prediction Pattern,Batch Monte Carlo simulation.
100,Skill Matching,42,ML Intelligent Routing,Algorithm for matching requests to agent skills,"Custom Skill Matcher, Genesys Skill-based Routing",PT-009,Real-Time ML Scoring Pattern,Real-time skill matching with Feature Store.
250,SLA Monitoring,106,Predictive SLA Analytics,SLA monitoring and tracking,"ServiceNow SLA, Custom SLA Monitor",PT-017,Observability and Monitoring Pattern,Observability SLA monitoring dashboards.
118,SOAR Platform,49,AI-powered SOAR,Security Orchestration Automation and Response platform,"Microsoft Sentinel SOAR, Palo Alto Cortex XSOAR, Splunk SOAR",PT-007,Agentic AI Pattern,Agentic AI SOAR with tool orchestration.
276,Sourcing Optimization,117,ML Spend Analytics,Sourcing strategy optimization,"Coupa, SAP Ariba, Custom Optimization",PT-014,Batch Prediction Pattern,Batch sourcing optimization.
275,Spend Analysis,117,ML Spend Analytics,Spend analysis and categorization,"Coupa Analytics, SAP Ariba, Custom Analysis",PT-014,Batch Prediction Pattern,Batch spend analysis with Feature Store features.
286,Spend Analytics,122,Real-time Spend Dashboard,Real-time spend analytics and reporting,"Coupa Analytics, Power BI, Custom Analytics",PT-017,Observability and Monitoring Pattern,Observability real-time spend dashboards.
25,SQL Generation,13,Natural Language Query (NLQ),Automated SQL query generation from natural language,"LLM-based SQL Generation, Text-to-SQL Engine",PT-013,Conversational AI Pattern,Conversational AI SQL generation with RAG context.
145,Static Analysis,61,AI Code Review,Static code analysis for quality and security,"SonarQube, Checkmarx, Veracode, CodeQL",PT-008,Multi-Agent Orchestration,Multi-Agent Code Review Agent.
85,Statistical Analysis,37,A/B Testing Framework,Statistical analysis tools for experiment evaluation,"R, Python SciPy, AWS ML, Custom Statistical Tools",PT-010,Champion/Challenger Testing Pattern,Champion/Challenger statistical testing (p<0.05).
159,Story Generation,66,GenAI User Story Elaboration,Automated user story generation from requirements,"Custom LLM-based Generator, Productboard",PT-006,Multi-Model Routing,Multi-Model Routing for story generation.
361,Strategy Optimization,154,Reinforcement Learning,Strategy optimization using RL,"Custom RL Strategy, Multi-armed Bandit",PT-010,Champion/Challenger Testing Pattern,Champion/Challenger with RL optimization.
10,Stream Processing,4,Real-time Alerting with ML,Real-time data streaming and event processing,"Apache Kafka, AWS Kinesis, Apache Flink, Spark Streaming",PT-016,Stream Processing Pattern,2025 Stream Processing with Flink/Kafka Streams. Windowing. <10ms latency.
230,Stress Testing,96,Monte Carlo Simulation,Stress testing scenarios and execution,"SAS Risk, Custom Stress Testing",PT-014,Batch Prediction Pattern,Batch stress testing with simulation.
337,Stress Testing,144,Portfolio Analytics Dashboard,Portfolio stress testing,"SAS Risk, Custom Stress Testing",PT-017,Observability and Monitoring Pattern,Observability stress testing dashboards.
95,STT Service,41,Speech-to-Text,Speech-to-Text transcription service,"Azure Speech Services, AWS Transcribe, Google Speech-to-Text",PT-013,Conversational AI Pattern,Voice-first Conversational AI transcription.
60,Summarization,28,GenAI Document Summarization,LLM-based document summarization service,"Azure OpenAI GPT, Anthropic Claude, Custom Summarization",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG summarization with policy validation.
282,Supplier Assessment,120,Supplier Risk Scoring,Supplier risk assessment framework,"D&B, Custom Supplier Assessment",PT-003,Feature Store (Dual-Store),Feature Store for supplier risk features.
106,System Integration,44,CRM Integration,Integration middleware for system connectivity,"MuleSoft, Azure Logic Apps, Dell Boomi, Custom Integration",PT-001,Enterprise AI Governance Platform,Governance system integration with audit trails.
219,System Integration,91,Workflow Automation Integration,System integration middleware,"MuleSoft, Dell Boomi, Azure Logic Apps",PT-007,Agentic AI Pattern,Agentic AI system integration with orchestration.
105,Telephony API,44,CRM Integration,API for telephony system integration,"Twilio API, Genesys Cloud API, Nice CXone API",PT-013,Conversational AI Pattern,Conversational AI telephony integration.
20,Template Manager,10,Automated Report Generation,System for managing report templates,"Template Management Service, Version Control System",PT-008,Multi-Agent Orchestration,Multi-Agent Reporting Agent template management.
305,Test Automation,131,RPA Test Automation,Automated test execution,"UiPath Test Suite, Selenium, Custom Automation",PT-008,Multi-Agent Orchestration,Multi-Agent Testing Agent for automated execution.
149,Test Case Generation,62,GenAI Test Generation,Automated test case generation,"Custom LLM-based Generator, Diffblue Cover",PT-008,Multi-Agent Orchestration,Multi-Agent Testing Agent for test generation.
148,Test Framework,62,GenAI Test Generation,Testing framework for automated tests,"JUnit, PyTest, NUnit, Jest",PT-008,Multi-Agent Orchestration,Multi-Agent Testing Agent with CI/CD integration.
311,Test Optimization,133,Risk-based Sampling,Optimization of test coverage,"Custom Optimization, ML-based Selection",PT-014,Batch Prediction Pattern,Batch test optimization.
312,Test Script Generator,134,GenAI Test Script Generation,Automated test script generation,"Custom LLM Generator, Test Generation Tools",PT-006,Multi-Model Routing,Multi-Model Routing for test scripts.
54,Text Extraction,25,OCR Engine,Service for extracting text from documents,"Apache Tika, Azure Text Analytics, Custom Extraction",PT-011,Intelligent Document Processing (IDP),IDP text extraction with 99% accuracy.
200,Text Mining,84,NLP Unstructured Data,Text mining and analysis tools,"Azure Text Analytics, spaCy, NLTK, Custom NLP",PT-011,Intelligent Document Processing (IDP),IDP text mining for evidence analysis.
115,Threat Intel Feeds,48,Threat Intelligence Enrichment,External threat intelligence data feeds,"MISP, Recorded Future, CrowdStrike, AlienVault OTX",PT-003,Feature Store (Dual-Store),Feature Store for threat indicator features.
110,Threat Intelligence,46,Deep Learning Threat Detection,Threat intelligence feeds and databases,"Microsoft Threat Intelligence, Recorded Future, CrowdStrike",PT-003,Feature Store (Dual-Store),Feature Store threat intelligence enrichment.
244,Ticket Classifier,102,NLP Ticket Classification,ML classifier for support tickets,"Custom BERT Classifier, ServiceNow Virtual Agent",PT-013,Conversational AI Pattern,Conversational AI ticket classification.
122,Traffic Analysis,50,Network Traffic Analysis AI,Deep packet inspection and traffic analysis,"Darktrace, Vectra AI, Azure Network Watcher",PT-016,Stream Processing Pattern,Stream Processing for traffic analysis.
202,Transaction Analysis,85,Real-time Transaction Monitoring,Real-time transaction analysis and scoring,"FICO Falcon, Custom Transaction Analysis",PT-009,Real-Time ML Scoring Pattern,Real-time transaction analysis with 200-300ms latency.
166,Transaction Monitoring,70,ML Transaction Monitoring,Real-time transaction monitoring for suspicious activity,"FICO Falcon, ACI, SAS Transaction Monitoring, Custom System",PT-009,Real-Time ML Scoring Pattern,Real-time transaction monitoring. Tier 1 regulatory.
97,Transcription API,41,Speech-to-Text,API for real-time and batch transcription,"Azure Speech API, AWS Transcribe API, AssemblyAI",PT-013,Conversational AI Pattern,Conversational AI transcription with real-time processing.
379,Trigger Management,162,Real-time Personalization,Event trigger management,"Custom Trigger Engine, Event Processing",PT-015,Event-Driven Architecture,Event-driven trigger management.
107,UEBA Platform,45,User & Entity Behavior Analytics (UEBA),Platform for user and entity behavior analytics,"Microsoft Sentinel UEBA, Splunk UBA, Exabeam",PT-009,Real-Time ML Scoring Pattern,Real-time UEBA with Stream Processing.
243,Unified Platform,101,GRC Platform Integration,Unified GRC platform,"ServiceNow GRC, SAP GRC, MetricStream",PT-001,Enterprise AI Governance Platform,Governance unified GRC platform.
157,Update Automation,65,Dependency Management AI,Automated dependency update service,"Dependabot, Renovate, Azure DevOps",PT-008,Multi-Agent Orchestration,Multi-Agent Security Agent for dependency updates.
58,Validation Framework,27,ML Validation Models,Framework for validating data quality,"Great Expectations with ML, Custom Validation Framework",PT-011,Intelligent Document Processing (IDP),IDP validation with document forensics.
182,Validation Framework,75,AI-Enhanced Rule Engine,Framework for rule validation and testing,"Custom Validation Framework, Rule Testing Harness",PT-007,Agentic AI Pattern,Agentic AI rule validation and testing.
129,Validation Rules,54,ML Data Quality,Rule engine for data validation,"Great Expectations, Custom Validation, Azure Data Quality",PT-017,Observability and Monitoring Pattern,Observability data validation with drift detection.
86,Variant Management,37,A/B Testing Framework,Management of test variants and configurations,"LaunchDarkly, Optimizely, Custom Variant Manager",PT-010,Champion/Challenger Testing Pattern,Champion/Challenger variant management.
380,Variant Optimization,163,ML Variant Optimization,ML-based variant optimization,"Bayesian Optimization, Custom ML Optimization",PT-010,Champion/Challenger Testing Pattern,Champion/Challenger with Bayesian optimization.
2,Vector Database,1,RAG (Retrieval Augmented Generation),Specialized database for storing vector embeddings,"Pinecone, Weaviate, Chroma, Qdrant, MongoDB Atlas Vector Search",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG vector database with hybrid search support.
132,Vector Search,56,Semantic Search,Vector-based semantic search engine,"Azure AI Search, Elasticsearch with Vector, Pinecone",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG hybrid search (dense + sparse).
141,Version Control,59,DataOps with CI/CD,Version control system for code and configurations,"Git, Azure Repos, GitHub, GitLab",PT-002,MLOps Level 2+ with Governance,MLOps Level 2+ version control with governance.
377,Visual AI,161,Computer Vision Image AI,Visual AI for image analysis and generation,"Azure Computer Vision, Custom Visual AI",PT-006,Multi-Model Routing,Multi-Model Routing for multi-modal visual content.
348,Visual Content,149,Text-to-Media Generation,Visual content generation,"Canva, Adobe Express, AI Image Generators",PT-006,Multi-Model Routing,Multi-Model Routing for visual content generation.
23,Visualization Service,11,BI Visualization Integration,Service for creating data visualizations,"D3.js, Chart.js, Power BI Embedded, Tableau Embedded",PT-017,Observability and Monitoring Pattern,Observability visualization with real-time dashboards.
156,Vulnerability DB,65,Dependency Management AI,Database of known vulnerabilities,"CVE Database, NVD, Snyk Vulnerability DB",PT-018,Security and Privacy Pattern,Security & Privacy vulnerability database.
205,Workflow Automation,86,Case Management Integration,Workflow automation for case processing,"ServiceNow, Pega, Power Automate",PT-007,Agentic AI Pattern,Agentic AI workflow automation.
217,Workflow Connector,91,Workflow Automation Integration,Connectors to workflow systems,"Fenergo API, Pega API, Custom Connector",PT-007,Agentic AI Pattern,Agentic AI workflow connector.
63,Workflow Engine,29,RPA Integration,Engine for orchestrating business process workflows,"Camunda, Azure Logic Apps, AWS Step Functions, Temporal",PT-007,Agentic AI Pattern,Agentic AI workflow orchestration.
273,Workflow Orchestration,116,Agentic AI Orchestration,Orchestration of multi-agent workflows,"Apache Airflow, Temporal, Custom Orchestration",PT-008,Multi-Agent Orchestration,Multi-Agent workflow orchestration.
65,Workflow Routing,30,Human-in-the-Loop,System for routing tasks to human reviewers,"Custom Workflow System, ServiceNow, Pega",PT-011,Intelligent Document Processing (IDP),IDP workflow routing for HITL exceptions.
245,Workload Distribution,103,ML Skill Matching,Workload balancing and distribution,"Custom Load Balancer, ServiceNow Workload",PT-009,Real-Time ML Scoring Pattern,Real-time workload distribution.
49,XAI Framework,24,Explainable AI (XAI),Framework for explaining ML model predictions,"SHAP, LIME, Azure Responsible AI, AWS SageMaker Clarify, DiCE, InterpretML",PT-004,ML Model Explainability (SHAP/LIME),MANDATORY SHAP/LIME with counterfactual generation. 7+ year audit trail.
