use_case_id,use_case_name,data_residency,privacy_compliance,model_governance,audit_requirements,security_requirements,explainability,governance_requirements,primary_pattern_id,governance_pattern_alignment,2025_governance_requirements
1,FrontLine - Partnership Banking,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with Model Registry, bias monitoring, and version control. Observability (PT-017) with OpenTelemetry.","2025 Governance: Centralized Model Registry. Automated bias detection. Full prompt/response logging. Data lineage tracking. Role-based access control."
2,Finance,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with financial data controls. Data Mesh (PT-012) for federated governance. Observability (PT-017).","2025 Governance: Financial data classification. Automated anomaly audit. Month-end close controls. Regulatory reporting compliance. Full audit trail."
3,Analytics and Reporting,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with MLOps Level 2+ (PT-002) for model lifecycle. Data Mesh (PT-012) for data governance.","2025 Governance: Query logging and audit. Model versioning. Data access controls. Automated drift monitoring. Semantic layer governance."
4,Credit Risk,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"MANDATORY: Enterprise AI Governance (PT-001) + Explainability (PT-004). RBNZ compliance. Model risk management. Full credit decision audit.","2025 REGULATORY Governance: MANDATORY explainability for all credit decisions. Model validation. Automated bias testing. Full regulatory audit trail. SHAP/LIME explanations."
5,Lending Ops,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with document processing audit. MLOps Level 2+ (PT-002) for IDP model governance.","2025 Governance: Document extraction audit. PII redaction controls. Human-in-the-loop governance. Exception handling audit. Compliance validation."
6,HyperPersonalization,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with consent management. Privacy (PT-018) for customer data. Champion/Challenger (PT-010) for A/B governance.","2025 Governance: Customer consent tracking. Personalization audit. A/B test governance. Content moderation. Channel preference compliance."
7,Contact Centre,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,Unclear at this time,PT-001,"Enterprise AI Governance (PT-001) with call recording compliance. Conversational AI (PT-013) governance. Privacy (PT-018) for customer data.","2025 Governance: Call recording consent. Agent assist audit. Conversation logging. Sentiment monitoring governance. Customer data protection."
8,Security AI,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with Security (PT-018) integration. Threat detection audit. SIEM compliance. Incident response governance.","2025 Governance: Threat detection audit. UEBA governance. Playbook approval workflow. Security incident documentation. Compliance with security frameworks."
9,Data Products,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with Data Mesh (PT-012) federated governance. Data quality governance. Lineage tracking.","2025 Governance: Data product ownership. Quality SLA governance. Lineage audit. Metadata governance. Access control management."
10,SDLC,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,Human-in-the-loop mandatory,PT-001,"Enterprise AI Governance (PT-001) with MANDATORY human-in-the-loop. Security (PT-018) for code scanning. Code review governance.","2025 MANDATORY Governance: Human approval for all code changes. Security scan compliance. Code review audit. Vulnerability tracking. License compliance."
11,Fincrime,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"MANDATORY: Enterprise AI Governance (PT-001) + Explainability (PT-004). AML/CFT compliance. SAR audit trail. Investigation governance.","2025 REGULATORY Governance: MANDATORY explainability for all alerts. SAR filing audit. Investigation documentation. Sanctions compliance. Full regulatory trail."
12,QA/QC,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with audit compliance. Test coverage governance. Quality metrics tracking.","2025 Governance: Test execution audit. Quality metrics governance. Defect tracking. Compliance testing documentation. Evidence retention."
13,Fraud Ops,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with fraud detection audit. Explainability (PT-004) for decisions. Investigation governance.","2025 Governance: Fraud decision audit. Block/allow governance. Investigation documentation. Customer communication audit. Recovery tracking."
14,Onboarding,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"MANDATORY: Enterprise AI Governance (PT-001) + Explainability (PT-004). KYC compliance. Identity verification audit. AML screening governance.","2025 REGULATORY Governance: MANDATORY explainability for KYC decisions. Identity verification audit. Document retention. Biometric consent. AML compliance."
15,"Risk functions- Risk Functions - Operational Risk, Market Risk, Liquidity Risk,Model Risk, Compliance Risk Assessment, Tech Risk, Risk Assurance, Enterprise Risk",New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"REGULATORY: Enterprise AI Governance (PT-001) + Explainability (PT-004). Model risk management. Regulatory reporting governance.","2025 REGULATORY Governance: Model risk framework compliance. Regulatory reporting audit. Risk decision explainability. Scenario analysis governance. Capital calculation audit."
16,IT Ops - IT Operations  -,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with AIOps governance. Change management. Incident response audit. Self-healing governance.","2025 Governance: Incident response audit. Change management compliance. Auto-remediation governance. Performance monitoring. SLA tracking."
17,FrontLine - CIB,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with deal governance. Client data protection. Market intelligence compliance.","2025 Governance: Deal documentation audit. Client confidentiality. Market data compliance. Pitch material governance. Relationship tracking."
18,Procurement,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with procurement compliance. Contract governance. Vendor management audit.","2025 Governance: Vendor selection audit. Contract approval workflow. Spend governance. Supplier risk tracking. Invoice processing audit."
19,Payment disputes,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with card scheme compliance. Dispute resolution audit. Chargeback governance.","2025 Governance: Dispute classification audit. Evidence management. Card scheme compliance. Customer communication audit. Resolution tracking."
20,Controls testing - IT and business,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with audit compliance. Control testing governance. Evidence retention. Finding tracking.","2025 Governance: Control testing audit. Evidence governance. Finding documentation. Remediation tracking. Regulatory compliance."
21,Wholesale underwriting transformation - CIB,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"REGULATORY: Enterprise AI Governance (PT-001) + Explainability (PT-004). Credit committee governance. Deal approval audit.","2025 REGULATORY Governance: MANDATORY explainability for credit decisions. Financial spreading audit. Deal approval workflow. Covenant monitoring. Portfolio governance."
22,Learning content prouction,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with content governance. Training compliance. Assessment audit.","2025 Governance: Content approval workflow. Training compliance tracking. Assessment governance. Certification audit. IP protection."
23,Collection Management,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with collections compliance. Customer treatment governance. Communication audit.","2025 Governance: Collection strategy audit. Customer treatment compliance. Communication governance. Payment tracking. Hardship program compliance."
24,Front-end app personalisation,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with app governance. Privacy (PT-018) for user data. A/B test governance.","2025 Governance: Personalization audit. User consent tracking. A/B test governance. Content moderation. Performance monitoring."
