use_case_id,use_case_name,technical_risks,business_risks,key_mitigations,overall_risk,primary_pattern_id,pattern_risk_mitigations,2025_risk_considerations
1,FrontLine - Partnership Banking,Data quality and availability (Medium),User adoption resistance (Medium) | Regulatory considerations (Medium) | ROI realization timeline (Medium),Establish model governance and monitoring | Phased rollout with pilot group,Medium,PT-005,"Self-Reflective RAG mitigates hallucination risk. Feature Store ensures feature consistency. Observability (PT-017) enables early issue detection.","2025 Risks: RAG hallucination risk - mitigate with Self-Reflective validation. Agentic AI autonomy risk - mitigate with human-in-the-loop for critical decisions."
2,Finance,Data quality and availability (Medium),User adoption resistance (Medium) | Regulatory considerations (Medium) | ROI realization timeline (Medium),Establish model governance and monitoring | Phased rollout with pilot group,Medium,PT-007,"Agentic AI with planning/reflection reduces errors. Data Mesh ensures data quality. Multi-Agent coordination mitigates single point of failure.","2025 Risks: Multi-Agent coordination complexity. Financial data accuracy critical - mitigate with anomaly detection. Regulatory reporting compliance."
3,Analytics and Reporting,Data quality and availability (Medium),User adoption resistance (Medium) | Regulatory considerations (Medium) | ROI realization timeline (Medium),Establish model governance and monitoring | Phased rollout with pilot group,Medium,PT-005,"Text-to-SQL validation reduces query errors. MLOps Level 2+ ensures model quality. Data Mesh governance ensures data consistency.","2025 Risks: Text-to-SQL accuracy risk - mitigate with query validation. Model drift - mitigate with automated retraining. Data freshness."
4,Credit Risk,Data quality and availability (Medium),User adoption resistance (Medium) | Regulatory considerations (Medium) | ROI realization timeline (Medium),Establish model governance and monitoring | Phased rollout with pilot group,Medium,PT-009,"MANDATORY Explainability (PT-004) for regulatory compliance. Real-Time Scoring with fallback models. MLOps Level 2+ drift detection. Feature Store consistency.","2025 REGULATORY Risks: Model bias - MANDATORY explainability testing. Latency SLA (<1s) - mitigate with feature store caching. Regulatory audit - full governance trail."
5,Lending Ops,Data quality and availability (Medium),User adoption resistance (Medium) | Regulatory considerations (Medium) | ROI realization timeline (Medium),Establish model governance and monitoring | Phased rollout with pilot group,Medium,PT-011,"IDP accuracy validation. Human-in-the-loop for exceptions. MLOps Level 2+ for model improvement. Document quality checks.","2025 Risks: Document extraction accuracy - mitigate with confidence thresholds. PII handling - mitigate with redaction. Exception handling volume."
6,HyperPersonalization,Data quality and availability (Medium),User adoption resistance (Medium) | Regulatory considerations (Medium) | ROI realization timeline (Medium),Establish model governance and monitoring | Phased rollout with pilot group,Medium,PT-006,"Multi-Model Routing ensures optimal model selection. Champion/Challenger validates changes. Feature Store ensures real-time feature availability.","2025 Risks: Real-time latency (<100ms) - mitigate with Feature Store caching. Content appropriateness - mitigate with content moderation. Consent compliance."
7,Contact Centre,Integration complexity with legacy systems (Medium) | Data quality and availability (Medium),Technology maturity concerns (High) | User adoption resistance (Medium) | Regulatory considerations (Medium) | ROI realization timeline (Medium),Establish model governance and monitoring | Phased rollout with pilot group,proven/low risk,PT-013,"Conversational AI with fallback to human agents. Self-Reflective RAG reduces hallucination. Sentiment monitoring for quality.","2025 Risks: Agent assist accuracy - mitigate with confidence thresholds. Call recording compliance. Customer data privacy. Real-time latency requirements."
8,Security AI,Data quality and availability (Medium),User adoption resistance (Medium) | Regulatory considerations (Medium) | ROI realization timeline (Medium),Establish model governance and monitoring | Phased rollout with pilot group,Medium,PT-009,"Real-Time detection with multiple models. Event-Driven architecture for reliability. UEBA behavioral baselines reduce false positives.","2025 Risks: False positive/negative balance. Detection latency (<100ms) critical. Threat intelligence freshness. Automated response governance."
9,Data Products,Data quality and availability (Medium),User adoption resistance (Medium) | Regulatory considerations (Medium) | ROI realization timeline (Medium),Establish model governance and monitoring | Phased rollout with pilot group,Medium,PT-012,"Data Mesh federated governance. Automated quality validation. Lineage tracking for impact analysis. GenAI documentation accuracy.","2025 Risks: Data product quality SLA. Metadata accuracy. Lineage completeness. Access control management. Documentation accuracy."
10,SDLC,Integration complexity with legacy systems (Medium) | Data quality and availability (Medium),User adoption resistance (Medium) | Regulatory considerations (Medium) | ROI realization timeline (Medium),Establish model governance and monitoring | Phased rollout with pilot group,emerging/medium risk,PT-007,"MANDATORY human-in-the-loop for all code changes. Security scanning integration. Multi-Model routing for specialized analysis.","2025 MANDATORY Risks: Code quality - MANDATORY human review. Security vulnerabilities - integrated scanning. Licensing compliance. Technical debt introduction."
11,Fincrime,Data quality and availability (Medium),User adoption resistance (Medium) | Regulatory considerations (Medium) | ROI realization timeline (Medium),Establish model governance and monitoring | Phased rollout with pilot group,Medium,PT-009,"MANDATORY Explainability for all alerts. Real-Time monitoring with fallback. Network analysis validation. Full audit trail.","2025 REGULATORY Risks: Alert accuracy (false positives/negatives). SAR quality - MANDATORY explainability. Investigation completeness. Regulatory audit readiness."
12,QA/QC,Data quality and availability (Medium),User adoption resistance (Medium) | Regulatory considerations (Medium) | ROI realization timeline (Medium),Establish model governance and monitoring | Phased rollout with pilot group,Medium,PT-014,"Batch Prediction for large-scale testing. MLOps Level 2+ for test model quality. Anomaly detection for quality monitoring.","2025 Risks: Test coverage gaps. Defect prediction accuracy. Quality metric reliability. Evidence completeness. Audit compliance."
13,Fraud Ops,Data quality and availability (Medium),User adoption resistance (Medium) | Regulatory considerations (Medium) | ROI realization timeline (Medium),Establish model governance and monitoring | Phased rollout with pilot group,Medium,PT-009,"Real-Time detection (<100ms) with fallback. Explainability for decisions. Behavioral biometrics validation. Graph analytics verification.","2025 Risks: Detection latency critical (<100ms). False positive impact on customer experience. Investigation accuracy. Recovery tracking."
14,Onboarding,Data quality and availability (Medium),User adoption resistance (Medium) | Regulatory considerations (Medium) | ROI realization timeline (Medium),Establish model governance and monitoring | Phased rollout with pilot group,Medium,PT-011,"IDP with liveness detection validation. MANDATORY Explainability for KYC. Biometric security controls. AML screening accuracy.","2025 REGULATORY Risks: Identity verification accuracy. Spoofing attempts - mitigate with liveness. KYC decision explainability. AML screening completeness."
15,"Risk functions- Risk Functions - Operational Risk, Market Risk, Liquidity Risk,Model Risk, Compliance Risk Assessment, Tech Risk, Risk Assurance, Enterprise Risk",Data quality and availability (Medium),User adoption resistance (Medium) | Regulatory considerations (Medium) | ROI realization timeline (Medium),Establish model governance and monitoring | Phased rollout with pilot group,Medium,PT-004,"REGULATORY Explainability for all risk decisions. Model risk management. Scenario analysis validation. Regulatory reporting accuracy.","2025 REGULATORY Risks: Model risk - full validation framework. Risk calculation accuracy. Regulatory reporting compliance. Capital calculation audit."
16,IT Ops - IT Operations  -,Data quality and availability (Medium),User adoption resistance (Medium) | Regulatory considerations (Medium) | ROI realization timeline (Medium),Establish model governance and monitoring | Phased rollout with pilot group,Medium,PT-007,"Agentic AI with self-healing governance. Auto-remediation approval workflows. Observability for monitoring. Change management controls.","2025 Risks: Auto-remediation unintended consequences. Self-healing governance. Incident detection accuracy. Service disruption risk."
17,FrontLine - CIB,Data quality and availability (Medium),User adoption resistance (Medium) | Regulatory considerations (Medium) | ROI realization timeline (Medium),Establish model governance and monitoring | Phased rollout with pilot group,Medium,PT-005,"Self-Reflective RAG for market intelligence accuracy. Feature Store for CIB features. Deal precedent validation. Client confidentiality.","2025 Risks: Market intelligence accuracy. Deal precedent relevance. Client data protection. Competitive intelligence compliance."
18,Procurement,Data quality and availability (Medium),User adoption resistance (Medium) | Regulatory considerations (Medium) | ROI realization timeline (Medium),Establish model governance and monitoring | Phased rollout with pilot group,Medium,PT-008,"Multi-Agent coordination validation. IDP contract extraction accuracy. Vendor matching validation. Approval workflow governance.","2025 Risks: Multi-Agent coordination complexity. Contract analysis accuracy. Vendor matching quality. Procurement compliance."
19,Payment disputes,Data quality and availability (Medium),User adoption resistance (Medium) | Regulatory considerations (Medium) | ROI realization timeline (Medium),Establish model governance and monitoring | Phased rollout with pilot group,Medium,PT-007,"Agentic AI with dispute workflow governance. IDP evidence accuracy. Classification model validation. Card scheme compliance.","2025 Risks: Dispute classification accuracy. Evidence analysis quality. SLA compliance. Customer satisfaction impact. Chargeback success rate."
20,Controls testing - IT and business,Data quality and availability (Medium),User adoption resistance (Medium) | Regulatory considerations (Medium) | ROI realization timeline (Medium),Establish model governance and monitoring | Phased rollout with pilot group,Medium,PT-007,"Agentic AI with test execution governance. Evidence collection completeness. Finding documentation accuracy. Audit compliance.","2025 Risks: Test coverage gaps. Evidence completeness. Finding accuracy. Remediation tracking. Audit readiness."
21,Wholesale underwriting transformation - CIB,Data quality and availability (Medium),User adoption resistance (Medium) | Regulatory considerations (Medium) | ROI realization timeline (Medium),Establish model governance and monitoring | Phased rollout with pilot group,Medium,PT-011,"REGULATORY: IDP financial document accuracy. MANDATORY Explainability. Credit scoring validation. Deal approval governance.","2025 REGULATORY Risks: Financial spreading accuracy. Credit decision explainability. Deal approval compliance. Covenant monitoring completeness."
22,Learning content prouction,Data quality and availability (Medium),User adoption resistance (Medium) | Regulatory considerations (Medium) | ROI realization timeline (Medium),Establish model governance and monitoring | Phased rollout with pilot group,Medium,PT-007,"Agentic AI content review workflow. Multi-Model quality validation. Source material accuracy. Assessment validity.","2025 Risks: Content accuracy. Assessment validity. IP compliance. Translation quality. Learning effectiveness measurement."
23,Collection Management,Data quality and availability (Medium),User adoption resistance (Medium) | Regulatory considerations (Medium) | ROI realization timeline (Medium),Establish model governance and monitoring | Phased rollout with pilot group,Medium,PT-009,"Real-Time payment prediction validation. Customer treatment governance. Communication compliance. Strategy optimization monitoring.","2025 Risks: Payment prediction accuracy. Customer treatment compliance. Communication appropriateness. Collection strategy effectiveness."
24,Front-end app personalisation,Data quality and availability (Medium),User adoption resistance (Medium) | Regulatory considerations (Medium) | ROI realization timeline (Medium),Establish model governance and monitoring | Phased rollout with pilot group,Medium,PT-006,"Multi-Model Routing validation. Champion/Challenger testing governance. Feature Store latency monitoring. Content moderation.","2025 Risks: Real-time latency (<10ms features). Content appropriateness. User consent compliance. A/B test statistical validity."
