scenario_id,use_case_id,use_case_name,scenario_name,scenario_description,actor,trigger,expected_outcome,components_exercised,component_count,primary_pattern_id,primary_pattern_name,2025_pattern_alignment
SCN-001,1,FrontLine - Partnership Banking,Customer Meeting Preparation,"Relationship manager prepares for a high-value customer meeting by retrieving customer insights, generating personalized recommendations, and receiving real-time alerts about relationship health.",Relationship Manager,Upcoming customer meeting scheduled,RM receives comprehensive customer brief with personalized recommendations and real-time alerts,"RM Dashboard,Knowledge Management,Vector Database,LLM Integration,LLM API,Feature Store,ML Model Serving,Analytics Platform,Prompt Engineering,Content Templates,Stream Processing,Notification Service",12,PT-005,Self-Reflective RAG,"Self-Reflective RAG with hybrid search (dense+sparse) for customer insights. Agentic AI (PT-007) for autonomous brief generation. Feature Store (PT-003) for real-time customer features."
SCN-002,2,Finance,Monthly Financial Close,"Finance team processes month-end close by accessing data products, generating P&L narratives, detecting anomalies, and producing automated reports with visualizations.",Finance Analyst,Month-end close process initiated,Complete financial reports generated with narratives and anomaly alerts delivered to stakeholders,"Visualization Service,Data Catalog,API Gateway,Agent Framework,LLM API,NLG Engine,Financial Templates,Data Quality Framework,ML Model Serving,Alert Engine,Report Engine,NLG,Template Manager,BI Connector,Data API",15,PT-007,Agentic AI Pattern,"Multi-Agent orchestration (PT-008) with specialized agents for P&L, anomaly detection, narrative generation. Data Mesh (PT-012) for federated financial data products."
SCN-003,3,Analytics and Reporting,Self-Service Analytics Query,"Business analyst asks a natural language question about sales trends, receives SQL-generated results, predictive forecasts, and auto-generated insights.",Business Analyst,User submits natural language query,Query results with predictive insights and auto-generated narrative explanation displayed,"Analytics Dashboard,LLM API,Query Translation,SQL Generation,Data Virtualization,Metadata Management,Business Glossary,Feature Engineering,ML Model Registry,Model Serving,Model Training,AutoML Framework,Experiment Tracking,Analytics Engine,Insight Templates,ETL/ELT Connector,Data Pipeline,Orchestration",18,PT-005,Self-Reflective RAG,"Self-Reflective RAG with Text-to-SQL for natural language queries. MLOps Level 2+ (PT-002) for model management. Data Mesh (PT-012) for federated analytics."
SCN-004,4,Credit Risk,Credit Application Assessment,"Credit officer processes a loan application through ML scoring, alternative data enrichment, explainable AI decisions, and generates compliance narratives.",Credit Officer,Credit application received,Credit decision made with full explainability and compliance documentation generated,"Credit Decision Interface,ML Model Serving,Risk Models,Score Calculation,Data Enrichment,External Data Sources,Analytics Platform,LLM API,XAI Framework,Model Interpretation,ML Ensemble Framework,Model Combination,Risk Aggregation,Credit Templates,Document Generation,Compliance Reporting,Stream Processing,Event Processing,Real-time Analytics",19,PT-009,Real-Time ML Scoring,"MANDATORY: Real-Time Scoring (PT-009) <1s latency. MANDATORY Explainability (PT-004) with SHAP/LIME. Feature Store (PT-003) for credit features. MLOps Level 2+ (PT-002) for drift detection."
SCN-005,5,Lending Ops,Loan Document Processing,"Lending operations processes incoming loan documents through OCR extraction, NLP classification, validation, summarization, and exception handling workflow.",Lending Operations Staff,Loan documents uploaded to system,"Documents processed, validated, and routed for approval or exception handling","Human Task Management,OCR Service,Document Processing,Text Extraction,NLP Framework,Classification Models,NER Service,Validation Framework,Data Quality ML,Rule Engine,LLM API,Summarization,Compliance Templates,RPA Platform,Workflow Engine,Process Automation,Workflow Routing,Exception Queue",18,PT-011,Intelligent Document Processing,"IDP (PT-011) with multi-modal extraction (text+vision). Agentic AI (PT-007) for autonomous document routing. Human-in-the-loop for exceptions. MLOps Level 2+ (PT-002) for IDP model improvement."
SCN-006,6,HyperPersonalization,Personalized Offer Delivery,"Customer receives a hyper-personalized offer through real-time decisioning, ML recommendations, A/B testing optimization, and multi-channel journey orchestration.",Customer,Customer opens mobile banking app,Personalized content and offers delivered with optimized conversion tracking,"Customer Portal,CDP,Customer 360,Data Integration,Recommendation Engine,Collaborative Filtering,Deep Learning,LLM API,Content Generation,Personalization Engine,Decisioning Engine,Event Processing,Context Evaluation,Multi-Armed Bandit,Offer Optimization,Experiment Design,Journey Orchestration,Campaign Management,Channel Coordination,A/B Testing,Experiment Management,Statistical Analysis",22,PT-006,Multi-Model Routing,"Multi-Model Routing (PT-006) for optimal model per task. Champion/Challenger (PT-010) for A/B optimization. Feature Store (PT-003) for real-time features. Event-Driven (PT-015) for triggers."
SCN-007,7,Contact Centre,Customer Service Call Handling,"Contact center agent handles customer inquiry with AI-assisted context retrieval, real-time suggestions, sentiment analysis, and automated call summarization.",Contact Center Agent,Incoming customer call connected,Customer issue resolved with AI assistance and call automatically documented,"Agent Interface,Context Retrieval,Knowledge Base,Vector Search,LLM API,Sentiment Analysis,Intent Recognition,Response Generation,Call Recording,Speech-to-Text,Conversation Analytics,Agent Coaching,Quality Scoring,Documentation,Escalation Engine",15,PT-013,Conversational AI Pattern,"Conversational AI (PT-013) with multi-turn dialogue. Self-Reflective RAG (PT-005) for knowledge retrieval. Multi-Model Routing (PT-006) for speech/text/sentiment models."
SCN-008,8,Security AI,Security Threat Detection,"Security operations center detects and responds to potential threat using AI-powered SIEM correlation, automated playbook execution, and incident management.",Security Analyst,Security alert generated by SIEM,Threat contained with automated response and incident documented,"Security Dashboard,Threat Intelligence,Log Analytics,Event Correlation,Anomaly Detection,ML Threat Models,Alert Prioritization,Playbook Engine,Automation Engine,Orchestration,Incident Management,Forensics Tools,Compliance Reporting,Threat Hunting,Vulnerability Scanner",15,PT-009,Real-Time ML Scoring,"Real-Time Scoring (PT-009) <100ms threat detection. Event-Driven (PT-015) + Stream Processing (PT-016) for monitoring. UEBA with behavioral baselines. Security observability (PT-017)."
SCN-009,9,Data Products,Data Product Publishing,"Data team publishes a new data product with automated quality checks, lineage tracking, metadata generation, and consumer discoverability.",Data Engineer,Data product creation request submitted,Data product published with quality validation and discoverable by consumers,"Lineage Graph,Data Catalog,Schema Registry,Quality Rules,Validation Engine,Quality Metrics,Profiling Engine,Lineage Tracker,Impact Analysis,Metadata Generator,API Publisher,Access Control,Usage Analytics,Documentation Generator",14,PT-012,Data Mesh Pattern,"Data Mesh (PT-012) for federated ownership. Agentic AI (PT-007) for automated documentation. MLOps Level 2+ (PT-002) for quality model management. Full observability (PT-017)."
SCN-010,10,SDLC,Code Review and Deployment,"Developer submits code for AI-powered review, security scanning, test generation, and automated deployment through CI/CD pipeline.",Software Developer,Pull request submitted for review,"Code reviewed, tested, and deployed through automated pipeline","Developer Portal,Code Analysis,Review Automation,Vulnerability Scanning,Threat Modeling,Penetration Testing,Test Generator,Coverage Analysis,Documentation Generator,Refactoring Assistant,Pipeline Automation,Build Optimization,Deployment Automation,Release Management,Environment Manager",15,PT-007,Agentic AI Pattern,"Agentic AI (PT-007) for autonomous code review with planning/reflection. Multi-Model Routing (PT-006) for code/test/security models. Human-in-the-loop mandatory. Security (PT-018)."
SCN-011,11,Fincrime,Transaction Monitoring Alert,"Financial crime analyst investigates suspicious transaction flagged by ML monitoring, using network analysis and case management tools.",FinCrime Analyst,Suspicious transaction flagged by system,Alert investigated with evidence collected and SAR filed if required,"Collaboration Tools,Transaction Monitor,Pattern Detection,Network Analysis,Alert Generation,Risk Scoring,Case Management,Investigation Tools,SAR Generator,Sanctions Screening,Watch List Manager,Evidence Collection,Reporting Engine,Audit Trail",14,PT-009,Real-Time ML Scoring,"MANDATORY: Real-Time Scoring for transaction monitoring. MANDATORY Explainability (PT-004) for SAR justification. Self-Reflective RAG (PT-005) for narrative generation. Full audit trail (PT-001)."
SCN-012,12,QA/QC,Test Automation Execution,"QA team executes automated test suite with AI-generated test cases, defect prediction, and intelligent test prioritization.",QA Engineer,Test execution scheduled or triggered,Test results analyzed with defects identified and reported,"Quality Dashboard,Test Execution,Test Generator,Coverage Analysis,Defect Prediction,Priority Ranking,Environment Manager,Data Masking,Performance Testing,Regression Analysis,Report Generator,Trend Analysis,Integration Testing,API Testing,UI Testing",15,PT-014,Batch Prediction Pattern,"Batch Prediction (PT-014) for large-scale testing. MLOps Level 2+ (PT-002) for test model management. Anomaly detection for quality. Full observability (PT-017)."
SCN-013,13,Fraud Ops,Real-time Fraud Detection,"Fraud operations detects and blocks suspicious transaction in real-time using ML scoring, rule engine, and investigator workbench.",Fraud Analyst,Transaction exceeds risk threshold,Fraud blocked in real-time with case created for investigation,"Fraud Investigation Dashboard,Transaction Scoring,Rule Engine,Velocity Checks,Device Fingerprint,Behavioral Analysis,Network Detection,Alert Manager,Case Routing,Investigation Workbench,Decision Engine,Block Manager,Customer Communication,Recovery Tracking,Reporting Analytics",15,PT-009,Real-Time ML Scoring,"Real-Time Scoring (PT-009) <100ms fraud detection. Event-Driven (PT-015) for streaming. Self-Reflective RAG (PT-005) for case summarization. Explainability (PT-004) for decisions."
SCN-014,14,Onboarding,Digital Customer Onboarding,"New customer completes digital onboarding with AI-powered identity verification, risk assessment, and automated account opening.",New Customer,Customer starts onboarding journey,Customer onboarded with account created and welcome journey initiated,"Onboarding Portal,Identity Verification,Document Capture,Biometric Check,AML Screening,Risk Assessment,Eligibility Engine,Product Recommendation,Application Processing,Account Creation,Welcome Journey,Compliance Check,Fraud Prevention,Customer Communication,Audit Logging",15,PT-011,Intelligent Document Processing,"IDP (PT-011) for ID verification with liveness detection. Real-Time Scoring (PT-009) for risk. MANDATORY Explainability (PT-004) for KYC. Security (PT-018) for biometrics."
SCN-015,15,Risk Functions,Operational Risk Assessment,"Risk analyst performs operational risk assessment using ML models, scenario analysis, and automated reporting for regulatory compliance.",Risk Analyst,Risk assessment cycle initiated,Risk assessment completed with regulatory reports generated,"Risk Dashboard,Metric Visualization,Risk Scoring,Scenario Analysis,Control Assessment,Loss Modeling,KRI Monitoring,Incident Tracking,Remediation Manager,Compliance Reporting,Stress Testing,Capital Calculation,Board Reporting,Audit Support,Regulatory Filing",15,PT-004,ML Model Explainability,"REGULATORY: Explainability (PT-004) for risk decision audit. Real-Time Scoring (PT-009) for event detection. MLOps Level 2+ (PT-002) for model risk. Batch Prediction (PT-014) for portfolio."
SCN-016,16,IT Ops,IT Incident Resolution,"IT operations resolves infrastructure incident using AIOps anomaly detection, root cause analysis, and automated remediation.",IT Operations,Infrastructure anomaly detected,Incident resolved with root cause documented and preventive measures applied,"Operations Dashboard,Log Analytics,Metric Correlation,Anomaly Detection,Root Cause Analysis,Incident Prediction,Capacity Planning,Auto Remediation,Runbook Automation,Change Management,Service Mapping,Performance Baseline,Alert Management,Escalation Engine,Post-mortem Generator",15,PT-007,Agentic AI Pattern,"Agentic AI (PT-007) for autonomous remediation with self-healing. Real-Time Scoring (PT-009) for anomaly detection. Event-Driven (PT-015) for log streaming. Full observability (PT-017)."
SCN-017,17,FrontLine CIB,CIB Deal Preparation,"Corporate banker prepares for deal pitch using AI-retrieved market intelligence, precedent deals, and automated pitch materials.",CIB Banker,New deal opportunity identified,Pitch materials prepared with comprehensive deal analysis,"CIB Banker Portal,Document Retrieval,Market Intelligence,Deal Database,Precedent Search,Financial Modeling,Valuation Engine,Pitch Generator,Presentation Builder,Compliance Check,Risk Assessment,Pricing Model,Term Sheet Generator,Due Diligence,Relationship Insights",15,PT-005,Self-Reflective RAG,"Self-Reflective RAG (PT-005) for market intelligence and deal precedents. Agentic AI (PT-007) for pitch generation. Feature Store (PT-003) for CIB client features."
SCN-018,18,Procurement,Vendor Selection Process,"Procurement team evaluates vendors using AI-powered matching, contract analysis, and risk assessment agents.",Procurement Manager,RFP or procurement request created,Vendor selected with contract negotiated and approved,"Procurement Portal,Agentic AI Orchestration,Vendor Matching,Contract Analysis,Risk Assessment,Spend Analytics,Compliance Check,Price Benchmarking,Negotiation Support,Supplier Scoring,Performance Tracking,Document Management,Approval Workflow,Integration Manager,Reporting Engine",15,PT-008,Multi-Agent Orchestration,"Multi-Agent Orchestration (PT-008) for end-to-end procurement with specialized agents. Agentic AI (PT-007) for vendor matching. IDP (PT-011) for contract analysis."
SCN-019,19,Payment Disputes,Payment Dispute Resolution,"Dispute resolution team processes customer dispute using ML classification, evidence analysis, and automated resolution workflow.",Disputes Agent,Customer dispute submitted,Dispute resolved with appropriate refund or denial actioned,"Disputes Dashboard,Priority Assignment,Dispute Classification,Evidence Analyzer,Chargeback Engine,Customer Communication,Merchant Liaison,Resolution Workflow,Compliance Check,Refund Processing,Fraud Detection,Trend Analysis,SLA Monitor,Reporting Engine,Audit Trail",15,PT-007,Agentic AI Pattern,"Agentic AI (PT-007) for autonomous dispute workflow. IDP (PT-011) for evidence processing. Self-Reflective RAG (PT-005) for response generation. ML outcome prediction."
SCN-020,20,Controls Testing,Control Testing Automation,"Internal audit team performs automated control testing using AI test generation, evidence collection, and compliance assessment.",Internal Auditor,Control testing cycle initiated,Controls tested with findings documented and remediation tracked,"Testing Dashboard,Coverage Analysis,Test Generator,Evidence Collector,Control Mapper,Risk Scorer,Sampling Engine,Workflow Manager,Finding Tracker,Remediation Monitor,Report Generator,Regulatory Mapper,Trend Analyzer,Dashboard Builder,Audit Trail",15,PT-007,Agentic AI Pattern,"Agentic AI (PT-007) for autonomous test execution. Batch Prediction (PT-014) for large-scale testing. MLOps Level 2+ (PT-002) for test models. Full governance (PT-001)."
SCN-021,21,Wholesale Underwriting,Wholesale Credit Assessment,"Wholesale underwriter assesses corporate credit using financial spreading, industry analysis, and risk-adjusted pricing models.",Wholesale Underwriter,Wholesale credit application received,Credit assessment completed with pricing and terms determined,"Underwriting Workstation,Document Extraction,Financial Spreading,Ratio Calculation,Industry Analysis,Peer Comparison,Cash Flow Modeling,Covenant Tracking,Rating Engine,Pricing Model,Deal Structuring,Committee Preparation,Decision Documentation,Portfolio Integration,Monitoring Setup",15,PT-011,Intelligent Document Processing,"REGULATORY: IDP (PT-011) for financial document extraction. Real-Time Scoring (PT-009) for credit assessment. MANDATORY Explainability (PT-004). MLOps Level 2+ (PT-002)."
SCN-022,22,Learning Content,Personalized Learning Path,"Employee receives AI-curated learning content based on skill gaps, role requirements, and career aspirations.",Employee,Employee accesses learning platform,Personalized learning path created with progress tracked,"Learning Portal,Personalization Engine,Skill Assessment,Gap Analysis,Content Recommendation,Adaptive Learning,Progress Tracking,Assessment Engine,Certification Manager,Mentor Matching,Career Pathing,Feedback Collection,Analytics Dashboard,Content Curation,Compliance Training",15,PT-007,Agentic AI Pattern,"Agentic AI (PT-007) for autonomous content generation. Multi-Model Routing (PT-006) for text/video/assessment. Self-Reflective RAG (PT-005) for source synthesis."
SCN-023,23,Collection Management,Debt Collection Strategy,Collections agent executes AI-optimized collection strategy with personalized customer communication and payment arrangement.,Collections Agent,Account enters collection status,Collection strategy executed with payment arrangement established,"Collections Dashboard,Channel Selection,Debtor Scoring,Payment Prediction,Strategy Engine,Communication Generator,Negotiation Support,Payment Arrangement,Promise Tracker,Escalation Manager,Legal Handoff,Recovery Analytics,Customer Portal,Compliance Monitor,Reporting Engine",15,PT-009,Real-Time ML Scoring,"Real-Time Scoring (PT-009) for payment prediction. Feature Store (PT-003) for debtor features. Multi-Model Routing (PT-006) for channel optimization. GenAI messaging."
SCN-024,24,Front-end App Personalisation,App Personalization,"Mobile app delivers dynamically personalized UI based on user behavior, preferences, and real-time context analysis.",Mobile App User,User launches mobile application,App UI dynamically optimized for user preferences and context,"UI Personalization,Layout Optimization,Feature Prioritization,Behavioral Analysis,Preference Learning,Context Engine,A/B Testing,Recommendation Engine,Content Personalization,Navigation Optimizer,Performance Monitor,Feedback Collector,Analytics Engine,Segment Manager,Real-time Decisioning",15,PT-006,Multi-Model Routing,"Multi-Model Routing (PT-006) for optimal model per task. Champion/Challenger (PT-010) for A/B testing. Feature Store (PT-003) for real-time features. Event-Driven (PT-015)."
