ID,Pattern_Name,Short_Name,Category,Pattern_Type,Status,Maturity_Level,Description,Use_Case_Count,Use_Cases
PT-001,Enterprise AI Governance Platform,AI Governance Platform,Governance,Cross-Cutting Platform,Preliminary,Emerging,"Provide centralized governance, monitoring, and compliance management for all AI models and systems across the enterprise, ensuring responsible AI deployment aligned with regulatory requirements and organizational risk appetite.",24,"UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-009;UC-010;UC-011;UC-012;UC-013;UC-014;UC-015;UC-016;UC-017;UC-018;UC-019;UC-020;UC-021;UC-022;UC-023;UC-024"
PT-002,MLOps Level 2+ with Governance,MLOps L2+ Governance,Governance,"Orchestration, Compliance, Lifecycle Management",Preliminary,Mature,"Provide automated CI/CD for machine learning models with integrated governance, explainability, bias detection, and compliance validation required for production ML deployment in financial services.",17,"UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-009;UC-010;UC-011;UC-012;UC-013;UC-015;UC-016;UC-023"
PT-003,Feature Store (Dual-Store Architecture),Feature Store,Data,"Storage, Processing, Governance",Preliminary,Mature,Provide a centralized repository for ML features with offline (training) and online (serving) stores to ensure training/serving consistency and feature reusability across ML models.,3,"UC-001;UC-004;UC-006"
PT-004,ML Model Explainability (SHAP/LIME),Explainability Pattern,Governance,"Model Governance, Regulatory Compliance, Risk Management",Preliminary,Mature,"Generate human-readable explanations for ML model predictions to satisfy regulatory requirements, build customer trust, and enable model debugging and fairness monitoring.",4,"UC-004;UC-005;UC-006;UC-021"
PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),RAG,GenAI,Processing,Preliminary,Mature,"Augment LLM responses with retrieved knowledge from enterprise documents and databases to reduce hallucinations and provide up-to-date, factually grounded information.",18,"UC-001;UC-003;UC-004;UC-005;UC-007;UC-008;UC-009;UC-010;UC-011;UC-012;UC-013;UC-015;UC-016;UC-017;UC-018;UC-021;UC-022"
PT-006,Multi-Model Routing,Multi-Model Router,GenAI,"Integration, Orchestration, Optimization",Preliminary,Emerging,"Intelligently route AI requests to the optimal Large Language Model (LLM) for each specific task, avoiding vendor lock-in while optimizing for cost, performance, and quality.",7,"UC-001;UC-002;UC-003;UC-006;UC-007;UC-017;UC-024"
PT-007,Agentic AI Pattern,Agentic AI,Agent,Autonomous Orchestration,Preliminary,Emerging,"Enable autonomous AI agents that execute complex, multi-step tasks without explicit human prompting, using tool orchestration, memory management, and iterative planning capabilities.",19,"UC-001;UC-002;UC-005;UC-007;UC-008;UC-009;UC-010;UC-011;UC-012;UC-013;UC-014;UC-015;UC-016;UC-017;UC-018;UC-019;UC-020;UC-021;UC-022"
PT-008,Real-Time ML Scoring Pattern,Real-Time Scoring,ML Prediction,"Integration, Processing, Real-Time",Preliminary,Mature,Enable low-latency ML model inference for real-time decision-making in user-facing applications where immediate responses are critical for business outcomes.,7,"UC-002;UC-013;UC-014;UC-019;UC-023;UC-024"
PT-009,Champion/Challenger Testing Pattern,Champion/Challenger,Governance,Model Validation and Deployment,Preliminary,Mature,"Deploy multiple model versions simultaneously, compare their performance against key metrics, and promote the best-performing model to production through statistical validation.",3,"UC-004;UC-006;UC-024"
PT-010,ML Model Explainability (Comprehensive),ML Explainability,Governance,"Model Governance, Regulatory Compliance",Preliminary,Mature,"Provide comprehensive model explanations for regulatory compliance, fairness monitoring, and model debugging.",2,"UC-004;UC-021"
PT-011,Intelligent Document Processing (IDP),IDP,Document Intelligence,"Processing, Extraction, Validation",Preliminary,Mature,"Automated extraction, classification, and validation of data from structured and unstructured documents (PDFs, images, forms) to accelerate business processes and improve accuracy.",5,"UC-005;UC-014;UC-018;UC-019;UC-021"
PT-012,Data Mesh Pattern,Data Mesh,Data,"Data Architecture, Organizational",Preliminary,Emerging,"Enable domain-oriented decentralized data ownership with federated governance, treating data as a product to improve discoverability, quality, and accessibility across the enterprise.",3,"UC-002;UC-003;UC-009"
PT-013,Conversational AI Pattern,Conversational AI,GenAI,"Integration, Processing, Orchestration",Preliminary,Mature,"Natural language interfaces for customer service, support, and internal queries using LLMs with conversation management to deliver 24/7 availability and reduce human agent load.",3,"UC-003;UC-007;UC-014"
PT-014,Multi-Agent Orchestration,Multi-Agent,Agent,Orchestration,Preliminary,Early,Coordinate multiple specialized AI agents to collaboratively solve complex business problems that exceed the capabilities of single-agent systems.,4,"UC-002;UC-003;UC-010;UC-018;UC-020"
PT-015,Event-Driven Architecture for AI/ML,Event-Driven AI,Real-Time,"Integration, Processing",Preliminary,Mature,"Enable real-time AI/ML processing by reacting to business events (transactions, logins, user actions) as they occur rather than through batch processing.",6,"UC-001;UC-006;UC-008;UC-011;UC-016;UC-019"
PT-016,Stream Processing Pattern,Stream Processing,Real-Time,Data Processing Infrastructure,Preliminary,Mature,"Enable continuous processing of data streams for real-time aggregation, filtering, enrichment, and transformation to support real-time AI features and decision-making in event-driven architectures.",12,"UC-003;UC-004;UC-006;UC-008;UC-011;UC-012;UC-013;UC-015;UC-016;UC-020;UC-023;UC-024"
PT-017,Observability and Monitoring Pattern,Observability-Monitoring,Cross-Cutting,"Operations, Monitoring, Alerting",Preliminary,Mature,"Provide unified monitoring, logging, and alerting across all AI systems to ensure operational excellence, detect performance degradation, identify drift, and maintain business value.",23,"UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-009;UC-010;UC-011;UC-012;UC-013;UC-014;UC-015;UC-016;UC-017;UC-018;UC-019;UC-020;UC-022;UC-023;UC-024"
PT-018,Security and Privacy Pattern,Security & Privacy,Cross-Cutting,Security & Compliance,Preliminary,Mature,"Protect AI systems, data, and models from security threats while ensuring privacy compliance across all AI deployments in the enterprise. This pattern provides comprehensive security controls, threat mitigation strategies, and privacy-preserving techniques for AI systems.",24,"UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-009;UC-010;UC-011;UC-012;UC-013;UC-014;UC-015;UC-016;UC-017;UC-018;UC-019;UC-020;UC-021;UC-022;UC-023;UC-024"
PT-019,Graph-Enhanced Retrieval Augmented Generation (GraphRAG),GraphRAG,GenAI,"AI/ML Architecture, Knowledge Management",Draft,Emerging,"Enhance Large Language Model (LLM) responses with structured knowledge graphs that capture entity relationships, enabling superior reasoning over complex interconnected data compared to traditional vector-only RAG approaches.",0,""
PT-020,Path-Based Retrieval Augmented Generation (PathRAG),PathRAG,GenAI,"AI/ML Architecture, Knowledge Management",Draft,Emerging,"Enable LLMs to reason over interconnected document chains and evidence paths by retrieving and following document-to-document relationships, citations, and logical dependencies for more coherent and traceable answers.",0,""
PT-021,Multi-Agent System with Shared Memory,Multi-Agent Shared Memory,Agent,Collaborative Intelligence,Preliminary,Emerging,"Enable multiple AI agents to collaboratively solve complex problems through shared memory systems, distributed reasoning, and coordinated learning, where agents can leverage both individual and collective intelligence while maintaining persistent context across interactions.",0,""
